,name,team,year,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,turnovers,points_per_game
0,LeBron James,Los Angeles Lakers,2020,34.6,.493,.348,7.8,10.2,1.2,0.5,3.9,25.3
1,Anthony Davis,Los Angeles Lakers,2020,34.4,.503,.330,9.3,3.2,1.5,2.3,2.5,26.1
2,Kentavious Caldwell-Pope,Los Angeles Lakers,2020,25.5,.467,.385,2.1,1.6,0.8,0.2,0.9,9.3
3,Kyle Kuzma,Los Angeles Lakers,2020,25.0,.436,.316,4.5,1.3,0.5,0.4,1.5,12.8
4,Danny Green,Los Angeles Lakers,2020,24.8,.416,.367,3.3,1.3,1.3,0.5,0.9,8.0
5,Avery Bradley,Los Angeles Lakers,2020,24.2,.444,.364,2.3,1.3,0.9,0.1,1.0,8.6
6,Dion Waiters,Los Angeles Lakers,2020,23.6,.425,.233,1.9,2.4,0.6,0.6,1.9,11.9
7,Rajon Rondo,Los Angeles Lakers,2020,20.5,.418,.328,3.0,5.0,0.8,0.0,1.9,7.1
8,Dwight Howard,Los Angeles Lakers,2020,18.9,.729,.600,7.3,0.7,0.4,1.1,1.2,7.5
9,Alex Caruso,Los Angeles Lakers,2020,18.4,.412,.333,1.9,1.9,1.1,0.3,0.8,5.5
10,JaVale McGee,Los Angeles Lakers,2020,16.6,.637,.500,5.7,0.5,0.5,1.4,0.8,6.6
11,Markieff Morris,Los Angeles Lakers,2020,14.2,.406,.333,3.2,0.6,0.4,0.4,0.4,5.3
12,Talen Horton-Tucker,Los Angeles Lakers,2020,13.5,.467,.308,1.2,1.0,1.3,0.2,1.0,5.7
13,J.R. Smith,Los Angeles Lakers,2020,13.2,.318,.091,0.8,0.5,0.2,0.0,0.7,2.8
14,Quinn Cook,Los Angeles Lakers,2020,11.5,.425,.365,1.2,1.1,0.3,0.0,0.8,5.1
15,Troy Daniels,Los Angeles Lakers,2020,11.1,.392,.357,1.1,0.3,0.2,0.1,0.2,4.2
16,Devontae Cacok,Los Angeles Lakers,2020,9.0,.500,,5.0,1.0,0.0,0.0,0.0,6.0
17,Jared Dudley,Los Angeles Lakers,2020,8.1,.400,.429,1.2,0.6,0.3,0.1,0.2,1.5
18,Kostas Antetokounmpo,Los Angeles Lakers,2020,4.0,1.000,,0.6,0.4,0.0,0.0,0.2,1.4
19,Zach Norvell,Los Angeles Lakers,2020,2.5,.000,,0.5,0.0,0.0,0.0,0.0,0.0
20,Kawhi Leonard,Toronto Raptors,2019,34.0,.496,.371,7.3,3.3,1.8,0.4,2.0,26.6
21,Kyle Lowry,Toronto Raptors,2019,34.0,.411,.347,4.8,8.7,1.4,0.5,2.8,14.2
22,Pascal Siakam,Toronto Raptors,2019,31.9,.549,.369,6.9,3.1,0.9,0.7,1.9,16.9
23,Danny Green,Toronto Raptors,2019,27.7,.465,.455,4.0,1.6,0.9,0.7,0.9,10.3
24,Fred VanVleet,Toronto Raptors,2019,27.5,.410,.378,2.6,4.8,0.9,0.3,1.3,11.0
25,Serge Ibaka,Toronto Raptors,2019,27.2,.529,.290,8.1,1.3,0.4,1.4,1.5,15.0
26,Marc Gasol,Toronto Raptors,2019,24.9,.465,.442,6.6,3.9,0.9,0.9,1.4,9.1
27,OG Anunoby,Toronto Raptors,2019,20.2,.453,.332,2.9,0.7,0.7,0.3,0.8,7.0
28,Jeremy Lin,Toronto Raptors,2019,18.8,.374,.200,2.6,2.2,0.4,0.3,1.1,7.0
