,name,player_efficiency
222,Scot Pollard,8.7
223,Gabe Pruitt,8.3
224,Tim Duncan,26.1
225,Tony Parker,21.4
226,Bruce Bowen,7.1
227,Manu Ginóbili,24.1
228,Michael Finley,13.7
229,Brent Barry,16.6
230,Fabricio Oberto,11.9
231,Francisco Elson,11.2
232,Robert Horry,11.9
233,Beno Udrih,10.3
234,Jacque Vaughn,10.9
235,Matt Bonner,16.4
236,James White,12.1
237,Jackie Butler,9.6
238,Eric Williams,14.8
239,Melvin Ely,6.7
240,Dwyane Wade,27.6
241,Udonis Haslem,13.7
242,Gary Payton,10.7
243,Antoine Walker,14.4
244,James Posey,9.8
245,Jason Williams,15.0
246,Shaquille O'Neal,24.4
247,Alonzo Mourning,19.4
248,Jason Kapono,9.0
249,Shandon Anderson,6.2
250,Derek Anderson,8.7
251,Wayne Simien,11.5
252,Michael Doleac,9.9
253,Gerald Fitch,10.2
254,Dorell Wright,13.2
255,Earl Barron,-2.8
256,Matt Walsh,-2.4
257,Tony Parker,18.0
258,Bruce Bowen,9.5
259,Tim Duncan,27.0
260,Manu Ginóbili,22.3
261,Rasho Nesterović,12.0
262,Brent Barry,14.0
263,Robert Horry,14.9
264,Devin Brown,14.6
265,Beno Udrih,14.3
266,Malik Rose,14.0
267,Tony Massenburg,8.5
268,Nazr Mohammed,14.2
269,Mike Wilks,11.0
270,Sean Marks,8.7
271,Glenn Robinson,17.2
272,Dion Glover,14.0
273,Linton Johnson,-3.4
274,Ben Wallace,17.3
275,Richard Hamilton,16.8
276,Chauncey Billups,18.6
277,Tayshaun Prince,13.3
278,Mehmet Okur,18.3
279,Corliss Williamson,14.4
280,Elden Campbell,13.8
281,Chucky Atkins,10.1
282,Bob Sura,13.0
283,Rasheed Wallace,18.8
284,Lindsey Hunter,9.0
285,Mike James,14.3
286,Darvin Ham,8.3
287,Tremaine Fowlkes,6.5
288,Željko Rebrača,9.6
289,Darko Miličić,6.1
290,Hubert Davis,-7.7
291,Tim Duncan,26.9
292,Tony Parker,16.5
293,Bruce Bowen,9.1
294,Stephen Jackson,14.5
295,Malik Rose,16.1
296,David Robinson,17.8
297,Manu Ginóbili,14.7
298,Steve Smith,12.0
299,Steve Kerr,11.4
300,Kevin Willis,12.5
301,Danny Ferry,5.1
302,Speedy Claxton,15.9
303,Anthony Goldwire,2.5
304,Mengke Bateer,-8.4
305,Devin Brown,13.8
306,Kobe Bryant,23.2
307,Shaquille O'Neal,29.7
308,Rick Fox,11.3
309,Robert Horry,14.5
310,Derek Fisher,14.0
311,Devean George,12.6
312,Samaki Walker,14.5
313,Lindsey Hunter,9.4
314,Stanislav Medvedenko,15.6
315,Mitch Richmond,10.7
316,Mark Madsen,12.7
317,Brian Shaw,11.8
318,Jelani McCoy,9.5
319,Joe Crispin,5.0
320,Mike Penberthy,31.3
321,Shaquille O'Neal,30.2
322,Kobe Bryant,24.5
323,Horace Grant,14.3
324,Rick Fox,13.8
325,Brian Shaw,10.9
326,Robert Horry,11.0
327,Isaiah Rider,11.8
328,Ron Harper,12.5
329,Mike Penberthy,11.2
330,Derek Fisher,14.0
331,Mark Madsen,9.2
332,Devean George,6.2
333,Tyronn Lue,8.7
334,Greg Foster,9.5
335,Stanislav Medvedenko,21.8
336,Shaquille O'Neal,30.6
337,Glen Rice,16.2
338,Kobe Bryant,21.7
339,Ron Harper,12.0
340,A.C. Green,11.2
341,Derek Fisher,9.6
342,Robert Horry,14.3
343,Rick Fox,11.7
344,Brian Shaw,10.9
345,Travis Knight,9.5
346,Devean George,12.1
347,John Salley,8.3
348,John Celestand,2.7
349,Tyronn Lue,10.5
350,Sam Jacobson,14.1
351,Tim Duncan,23.2
352,Avery Johnson,14.0
353,David Robinson,24.9
354,Sean Elliott,12.6
355,Mario Elie,14.5
356,Jaren Jackson,12.5
357,Steve Kerr,9.9
358,Jerome Kersey,7.4
359,Antonio Daniels,16.1
360,Malik Rose,19.7
361,Will Perdue,11.7
362,Gerard King,13.6
363,Andrew Gaze,8.5
364,Brandon Williams,24.4
365,Michael Jordan,25.2
366,Dennis Rodman,12.4
367,Ron Harper,14.7
368,Toni Kukoč,17.3
369,Luc Longley,13.5
370,Scottie Pippen,20.4
371,Randy Brown,10.1
372,Steve Kerr,12.9
373,Scott Burrell,15.7
374,Jason Caffey,14.4
375,Jud Buechler,14.1
376,Bill Wennington,9.4
377,Joe Kleine,5.5
378,Dickey Simpkins,11.9
379,Rusty LaRue,7.3
380,Keith Booth,13.8
381,David Vaughn,23.3
382,Michael Jordan,27.8
383,Scottie Pippen,21.3
384,Dennis Rodman,13.9
385,Steve Kerr,15.6
386,Ron Harper,13.6
387,Toni Kukoč,20.2
388,Luc Longley,13.4
389,Jason Caffey,14.3
390,Randy Brown,13.0
391,Bill Wennington,11.2
392,Jud Buechler,9.8
393,Robert Parish,14.3
394,Dickey Simpkins,6.5
395,Bison Dele,13.7
396,Matt Steigenga,7.0
397,Michael Jordan,29.4
398,Scottie Pippen,21.0
399,Toni Kukoč,20.4
400,Dennis Rodman,13.6
401,Steve Kerr,15.2
402,Ron Harper,14.4
403,Luc Longley,11.9
404,Bill Wennington,11.0
405,Jud Buechler,14.1
406,Dickey Simpkins,10.4
407,Randy Brown,11.2
408,Jason Caffey,7.9
409,James Edwards,3.5
410,John Salley,8.7
411,Jack Haley,1.8
412,Hakeem Olajuwon,26.0
413,Robert Horry,13.5
414,Vernon Maxwell,11.9
415,Kenny Smith,16.2
416,Mario Elie,13.7
417,Sam Cassell,15.9
418,Pete Chilcutt,11.0
419,Carl Herrera,11.7
420,Clyde Drexler,22.1
421,Otis Thorpe,14.7
422,Chucky Brown,12.4
423,Tim Breaux,8.9
424,Tracy Murray,8.2
425,Scott Brooks,17.3
426,Žan Tabak,11.2
427,Charles Jones,2.6
428,Adrian Caldwell,4.4
429,Hakeem Olajuwon,25.3
430,Otis Thorpe,16.1
431,Vernon Maxwell,12.5
432,Robert Horry,14.2
433,Kenny Smith,14.2
434,Mario Elie,13.4
435,Carl Herrera,9.1
436,Scott Brooks,12.2
437,Sam Cassell,13.1
438,Matt Bullard,8.8
439,Eric Riley,13.4
440,Richard Petruška,12.3
441,Chris Jent,11.0
442,Larry Robinson,13.0
443,Earl Cureton,2.2
444,Scottie Pippen,19.2
445,Michael Jordan,29.7
446,Horace Grant,17.5
447,B.J. Armstrong,14.7
448,Scott Williams,14.6
449,Bill Cartwright,8.3
450,Stacey King,12.8
451,John Paxson,9.3
452,Rodney McCray,7.6
453,Will Perdue,14.8
454,Trent Tucker,14.1
455,Darrell Walker,8.9
456,Corey Williams,9.3
457,Ed Nealy,10.9
458,Joe Courtney,5.6
459,Jo Jo English,1.9
460,Ricky Blanton,19.3
461,Scottie Pippen,21.5
462,Michael Jordan,27.7
463,Horace Grant,20.6
464,John Paxson,10.9
465,B.J. Armstrong,14.1
466,Bill Cartwright,10.9
467,Stacey King,13.4
468,Cliff Levingston,13.1
469,Will Perdue,14.2
470,Bob Hansen,5.8
471,Scott Williams,14.6
472,Craig Hodges,10.4
473,Mark Randall,8.7
474,Rory Sparrow,-5.5
475,Dennis Hopson,5.9
476,Chuck Nevitt,-13.6
477,Michael Jordan,31.6
478,Scottie Pippen,20.6
479,Horace Grant,17.6
480,Bill Cartwright,11.5
481,John Paxson,14.0
482,B.J. Armstrong,14.8
483,Stacey King,10.2
484,Cliff Levingston,11.5
485,Will Perdue,13.7
486,Craig Hodges,12.4
487,Dennis Hopson,10.0
488,Scott Williams,14.7
489,Isiah Thomas,17.3
490,Bill Laimbeer,15.8
491,Joe Dumars,17.2
492,Dennis Rodman,15.4
493,James Edwards,13.3
494,Mark Aguirre,15.8
495,Vinnie Johnson,12.9
496,John Salley,13.5
497,Gerald Henderson,13.6
498,William Bedford,9.5
499,Dave Greenwood,10.9
500,Scott Hastings,7.0
501,Stan Kimbrough,12.1
502,Ralph Lewis,-17.0
503,Isiah Thomas,17.1
504,Bill Laimbeer,16.6
505,Joe Dumars,16.8
506,Dennis Rodman,16.3
507,Vinnie Johnson,17.3
508,Rick Mahorn,12.1
509,John Salley,12.4
510,Adrian Dantley,18.2
511,James Edwards,11.6
512,Mark Aguirre,15.1
513,Micheal Williams,7.7
514,John Long,8.2
515,Fennis Dembo,7.8
516,Darryl Dawkins,8.2
517,Pace Mannion,14.4
518,Jim Rowinski,17.1
519,Steve Harris,18.3
520,Byron Scott,19.2
521,James Worthy,18.2
522,Magic Johnson,23.1
523,A.C. Green,14.5
524,Kareem Abdul-Jabbar,15.8
525,Mychal Thompson,14.6
526,Michael Cooper,11.6
527,Kurt Rambis,15.0
528,Wes Matthews,12.4
529,Mike Smrek,7.7
530,Milt Wagner,10.4
531,Tony Campbell,14.2
532,Ray Tolbert,15.1
533,Billy Thompson,-0.8
534,Jeff Lamp,9.2
535,Magic Johnson,27.0
536,James Worthy,18.4
537,Byron Scott,16.0
538,Kareem Abdul-Jabbar,17.9
539,Michael Cooper,14.0
540,A.C. Green,15.7
541,Kurt Rambis,12.6
542,Billy Thompson,12.8
543,Mychal Thompson,12.6
544,Wes Matthews,11.7
545,Frank Brickowski,10.2
546,Mike Smrek,5.0
547,Adrian Branch,18.8
548,Larry Bird,25.6
549,Dennis Johnson,14.7
550,Robert Parish,18.8
551,Danny Ainge,13.6
552,Kevin McHale,21.6
553,Jerry Sichting,11.9
554,Bill Walton,17.0
555,Scott Wedman,12.5
556,Rick Carlisle,7.9
557,Greg Kite,4.6
558,Sam Vincent,10.0
559,David Thirdkill,12.1
560,Sly Williams,-0.6
561,Magic Johnson,23.2
562,James Worthy,17.0
563,Kareem Abdul-Jabbar,22.9
564,Byron Scott,16.8
565,Michael Cooper,12.9
566,Kurt Rambis,12.7
567,Larry Spriggs,11.9
568,Bob McAdoo,15.4
569,Mike McGee,17.3
570,Jamaal Wilkes,11.0
571,Mitch Kupchak,12.5
572,Ronnie Lester,11.9
573,Chuck Nevitt,2.1
574,Earl Jones,-11.0
575,Larry Bird,24.2
576,Robert Parish,19.2
577,Dennis Johnson,12.8
578,Kevin McHale,20.0
579,Cedric Maxwell,13.5
580,Gerald Henderson,14.7
581,Quinn Buckner,9.4
582,Danny Ainge,10.4
583,Scott Wedman,9.9
584,M.L. Carr,7.8
585,Greg Kite,6.8
586,Carlos Clark,12.1
587,Moses Malone,25.1
588,Andrew Toney,17.9
589,Maurice Cheeks,18.6
590,Julius Erving,23.1
591,Clint Richardson,11.4
592,Bobby Jones,16.4
593,Marc Iavaroni,7.3
594,Franklin Edwards,14.2
595,Earl Cureton,8.1
596,Russ Schoene,9.8
597,Clemon Johnson,12.8
598,Reggie Johnson,7.4
599,Mark McNamara,7.6
600,J.J. Anderson,3.9
601,Norm Nixon,15.3
602,Magic Johnson,22.9
603,Jamaal Wilkes,16.5
604,Kareem Abdul-Jabbar,23.4
605,Michael Cooper,14.3
606,Mark Landsberger,10.3
607,Kurt Rambis,12.8
608,Jim Brewer,10.1
609,Mitch Kupchak,15.2
610,Bob McAdoo,14.4
611,Eddie Jordan,12.2
612,Mike McGee,11.7
613,Kevin McKenna,2.8
614,Clay Johnson,12.8
615,Larry Bird,19.9
616,Tiny Archibald,14.3
617,Cedric Maxwell,17.6
618,Chris Ford,8.8
619,Robert Parish,25.2
620,Kevin McHale,16.4
621,Gerald Henderson,10.4
622,Rick Robey,14.9
623,M.L. Carr,11.6
624,Eric Fernsten,11.0
625,Terry Duerod,14.3
626,Wayne Kreklow,-1.9
627,Norm Nixon,14.9
628,Kareem Abdul-Jabbar,25.3
629,Jamaal Wilkes,17.6
630,Magic Johnson,20.6
631,Jim Chones,11.3
632,Michael Cooper,12.5
633,Spencer Haywood,13.9
634,Don Ford,8.3
635,Mark Landsberger,17.0
636,Brad Holland,14.3
637,Marty Byrnes,6.3
638,Ollie Mack,9.1
639,Ron Boone,3.0
640,Kenny Carr,5.2
641,Butch Lee,12.4
