,name,team,year,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,turnovers,points_per_game,player_efficiency,position
217,Sam Cassell,Boston Celtics,2008,17.6,.385,.409,1.8,2.1,0.5,0.2,1.1,7.6,11.0,PG
218,Leon Powe,Boston Celtics,2008,14.4,.572,.000,4.1,0.3,0.3,0.3,0.8,7.9,20.9,C
219,Glen Davis,Boston Celtics,2008,13.6,.484,,3.0,0.4,0.4,0.3,0.9,4.5,11.3,C
220,P.J. Brown,Boston Celtics,2008,11.6,.341,.000,3.8,0.6,0.3,0.4,0.6,2.2,10.2,PF
221,Brian Scalabrine,Boston Celtics,2008,10.7,.309,.326,1.6,0.8,0.2,0.2,0.5,1.8,5.1,PF
222,Scot Pollard,Boston Celtics,2008,7.9,.522,,1.7,0.1,0.1,0.3,0.2,1.8,8.7,C
223,Gabe Pruitt,Boston Celtics,2008,6.3,.359,.250,0.5,0.9,0.3,0.0,0.3,2.1,8.3,PG
224,Tim Duncan,San Antonio Spurs,2007,34.1,.546,.111,10.6,3.4,0.8,2.4,2.8,20.0,26.1,C
225,Tony Parker,San Antonio Spurs,2007,32.5,.520,.395,3.2,5.5,1.1,0.1,2.5,18.6,21.4,PG
226,Bruce Bowen,San Antonio Spurs,2007,30.0,.405,.384,2.7,1.4,0.8,0.3,0.8,6.2,7.1,SF
227,Manu Ginóbili,San Antonio Spurs,2007,27.5,.464,.396,4.4,3.5,1.5,0.4,2.1,16.5,24.1,SG
228,James White,San Antonio Spurs,2007,22.8,.439,.286,3.3,0.8,0.5,0.2,0.8,8.3,12.1,SG
229,Michael Finley,San Antonio Spurs,2007,22.2,.412,.364,2.7,1.3,0.4,0.2,0.6,9.0,13.7,SF
230,Brent Barry,San Antonio Spurs,2007,21.7,.475,.446,2.1,1.8,0.7,0.2,0.8,8.5,16.6,SG
231,Francisco Elson,San Antonio Spurs,2007,19.0,.511,.000,4.8,0.8,0.4,0.8,1.2,5.0,11.2,C
232,Fabricio Oberto,San Antonio Spurs,2007,17.3,.562,,4.7,0.9,0.3,0.3,0.9,4.4,11.9,C
233,Robert Horry,San Antonio Spurs,2007,16.5,.359,.336,3.4,1.1,0.7,0.6,0.6,3.9,11.9,PF
234,Beno Udrih,San Antonio Spurs,2007,13.0,.369,.287,1.1,1.7,0.4,0.0,0.8,4.7,10.3,PG
235,Jacque Vaughn,San Antonio Spurs,2007,11.9,.425,.500,1.1,2.0,0.4,0.0,0.6,3.0,10.9,PG
236,Matt Bonner,San Antonio Spurs,2007,11.7,.447,.383,2.8,0.4,0.3,0.2,0.4,4.9,16.4,PF
237,Melvin Ely,San Antonio Spurs,2007,10.8,.300,,2.3,0.7,0.7,0.3,0.8,3.2,6.7,C
238,Jackie Butler,San Antonio Spurs,2007,9.4,.457,,2.0,0.5,0.2,0.0,0.9,3.7,9.6,C
239,Eric Williams,San Antonio Spurs,2007,5.5,.441,.471,0.9,0.4,0.1,0.0,0.3,2.6,14.8,SF
240,Dwyane Wade,Miami Heat,2006,38.6,.495,.171,5.7,6.7,1.9,0.8,3.6,27.2,27.6,SG
241,Jason Williams,Miami Heat,2006,31.8,.442,.372,2.4,4.9,0.9,0.1,1.7,12.3,15.0,PG
242,Udonis Haslem,Miami Heat,2006,30.8,.508,.000,7.8,1.2,0.6,0.2,1.0,9.3,13.7,PF
243,Shaquille O'Neal,Miami Heat,2006,30.6,.600,,9.2,1.9,0.4,1.8,2.8,20.0,24.4,C
244,James Posey,Miami Heat,2006,28.6,.403,.403,4.8,1.3,0.8,0.3,0.9,7.2,9.8,SF
245,Gary Payton,Miami Heat,2006,28.5,.420,.287,2.9,3.2,0.9,0.1,1.3,7.7,10.7,PG
246,Antoine Walker,Miami Heat,2006,26.8,.435,.358,5.1,2.0,0.6,0.4,1.8,12.2,14.4,PF
247,Derek Anderson,Miami Heat,2006,20.2,.308,.313,2.6,2.1,0.3,0.1,0.7,5.8,8.7,SG
248,Alonzo Mourning,Miami Heat,2006,20.0,.597,.000,5.5,0.2,0.2,2.7,1.2,7.8,19.4,C
249,Shandon Anderson,Miami Heat,2006,13.3,.429,.263,1.7,0.6,0.4,0.1,0.5,2.6,6.2,SF
250,Gerald Fitch,Miami Heat,2006,13.3,.337,.269,1.7,1.8,0.4,0.3,0.8,4.7,10.2,PG
251,Jason Kapono,Miami Heat,2006,13.0,.446,.396,1.4,0.7,0.1,0.1,0.4,4.1,9.0,SF
252,Michael Doleac,Miami Heat,2006,12.0,.420,,2.7,0.3,0.3,0.2,0.5,3.2,9.9,C
253,Wayne Simien,Miami Heat,2006,9.6,.483,,2.0,0.2,0.3,0.0,0.6,3.4,11.5,PF
254,Dorell Wright,Miami Heat,2006,6.6,.465,.500,1.6,0.4,0.2,0.1,0.7,2.9,13.2,SF
255,Earl Barron,Miami Heat,2006,5.6,.313,,1.3,0.0,0.0,0.0,0.6,1.6,-2.8,C
256,Matt Walsh,Miami Heat,2006,1.5,1.000,,0.0,0.0,0.0,0.0,0.5,1.0,-2.4,SG
257,Tony Parker,San Antonio Spurs,2005,34.2,.482,.276,3.7,6.1,1.2,0.1,2.7,16.6,18.0,PG
258,Tim Duncan,San Antonio Spurs,2005,33.4,.496,.333,11.1,2.7,0.7,2.6,1.9,20.3,27.0,PF
259,Bruce Bowen,San Antonio Spurs,2005,32.0,.420,.403,3.5,1.5,0.7,0.5,0.7,8.2,9.5,SF
260,Manu Ginóbili,San Antonio Spurs,2005,29.6,.471,.376,4.4,3.9,1.6,0.4,2.3,16.0,22.3,SG
261,Rasho Nesterović,San Antonio Spurs,2005,25.5,.460,,6.6,1.0,0.4,1.7,1.0,5.9,12.0,C
262,Brent Barry,San Antonio Spurs,2005,21.5,.423,.357,2.3,2.2,0.5,0.2,0.8,7.4,14.0,SG
263,Robert Horry,San Antonio Spurs,2005,18.6,.419,.370,3.6,1.1,0.9,0.8,0.9,6.0,14.9,PF
264,Devin Brown,San Antonio Spurs,2005,18.5,.423,.372,2.6,1.4,0.6,0.2,0.8,7.4,14.6,SG
265,Nazr Mohammed,San Antonio Spurs,2005,18.0,.387,,6.4,0.3,0.2,1.4,1.2,6.2,14.2,C
266,Glenn Robinson,San Antonio Spurs,2005,17.4,.442,.333,2.7,0.9,0.4,0.3,0.8,10.0,17.2,SF
267,Malik Rose,San Antonio Spurs,2005,17.2,.464,.000,4.5,0.8,0.6,0.2,1.1,6.3,14.0,PF
268,Beno Udrih,San Antonio Spurs,2005,14.4,.444,.408,1.0,1.9,0.5,0.1,1.0,5.9,14.3,PG
269,Tony Massenburg,San Antonio Spurs,2005,11.5,.407,,2.7,0.2,0.3,0.3,0.7,3.2,8.5,PF
270,Sean Marks,San Antonio Spurs,2005,10.6,.338,.000,2.4,0.3,0.1,0.5,0.6,3.3,8.7,PF
271,Dion Glover,San Antonio Spurs,2005,9.7,.364,.125,1.6,0.6,0.4,0.4,0.3,3.6,14.0,SG
272,Linton Johnson,San Antonio Spurs,2005,7.5,.000,.000,1.5,0.0,0.5,0.0,0.5,0.0,-3.4,SF
273,Mike Wilks,San Antonio Spurs,2005,5.8,.416,.313,0.5,0.7,0.3,0.0,0.3,1.7,11.0,PG
274,Ben Wallace,Detroit Pistons,2004,37.7,.421,.125,12.4,1.7,1.8,3.0,1.5,9.5,17.3,C
275,Richard Hamilton,Detroit Pistons,2004,35.5,.455,.265,3.6,4.0,1.3,0.2,2.7,17.6,16.8,SG
276,Chauncey Billups,Detroit Pistons,2004,35.4,.394,.388,3.5,5.7,1.1,0.1,2.4,16.9,18.6,PG
277,Tayshaun Prince,Detroit Pistons,2004,32.9,.467,.363,4.8,2.3,0.8,0.8,1.5,10.3,13.3,SF
278,Rasheed Wallace,Detroit Pistons,2004,30.6,.431,.319,7.0,1.8,1.1,2.0,1.3,13.7,18.8,PF
279,Mehmet Okur,Detroit Pistons,2004,22.3,.463,.375,5.9,1.0,0.5,0.9,1.4,9.6,18.3,PF
280,Lindsey Hunter,Detroit Pistons,2004,20.0,.343,.280,2.0,2.6,1.2,0.2,1.0,3.5,9.0,SG
281,Corliss Williamson,Detroit Pistons,2004,19.9,.505,,3.2,0.7,0.4,0.3,1.4,9.5,14.4,PF
282,Mike James,Detroit Pistons,2004,19.7,.401,.364,2.2,3.7,1.0,0.0,1.6,6.3,14.3,PG
283,Chucky Atkins,Detroit Pistons,2004,18.8,.374,.323,1.2,2.4,0.5,0.0,1.2,6.2,10.1,PG
284,Elden Campbell,Detroit Pistons,2004,13.7,.439,,3.2,0.7,0.3,0.8,1.0,5.6,13.8,C
285,Bob Sura,Detroit Pistons,2004,13.3,.410,.250,1.9,1.7,0.7,0.2,0.7,3.8,13.0,SG
286,Željko Rebrača,Detroit Pistons,2004,10.6,.407,,2.3,0.2,0.2,0.4,0.6,3.1,9.6,C
287,Darvin Ham,Detroit Pistons,2004,9.0,.493,.500,1.7,0.3,0.2,0.1,0.6,1.8,8.3,SF
288,Hubert Davis,Detroit Pistons,2004,7.7,.000,.000,0.0,0.3,0.0,0.0,0.3,0.0,-7.7,SG
289,Tremaine Fowlkes,Detroit Pistons,2004,7.3,.313,.125,1.5,0.4,0.3,0.1,0.3,1.2,6.5,SF
290,Darko Miličić,Detroit Pistons,2004,4.7,.262,.000,1.3,0.2,0.2,0.4,0.4,1.4,6.1,C
291,Tim Duncan,San Antonio Spurs,2003,39.3,.513,.273,12.9,3.9,0.7,2.9,3.1,23.3,26.9,PF
292,Tony Parker,San Antonio Spurs,2003,33.8,.464,.337,2.6,5.3,0.9,0.0,2.4,15.5,16.5,PG
293,Bruce Bowen,San Antonio Spurs,2003,31.3,.466,.441,2.9,1.4,0.8,0.5,0.9,7.1,9.1,SF
294,Stephen Jackson,San Antonio Spurs,2003,28.2,.435,.320,3.6,2.3,1.6,0.4,2.2,11.8,14.5,SG
295,David Robinson,San Antonio Spurs,2003,26.2,.469,,7.9,1.0,0.8,1.7,1.3,8.5,17.8,C
296,Malik Rose,San Antonio Spurs,2003,24.5,.459,.400,6.4,1.6,0.7,0.5,2.2,10.4,16.1,PF
297,Manu Ginóbili,San Antonio Spurs,2003,20.7,.438,.345,2.3,2.0,1.4,0.2,1.4,7.6,14.7,SG
298,Steve Smith,San Antonio Spurs,2003,19.5,.388,.331,1.9,1.3,0.5,0.2,0.8,6.8,12.0,SG
299,Speedy Claxton,San Antonio Spurs,2003,15.7,.462,.000,1.9,2.5,0.7,0.2,1.2,5.8,15.9,PG
300,Steve Kerr,San Antonio Spurs,2003,12.7,.430,.395,0.8,0.9,0.4,0.0,0.5,4.0,11.4,PG
301,Kevin Willis,San Antonio Spurs,2003,11.8,.479,.000,3.2,0.3,0.3,0.3,0.8,4.2,12.5,C
302,Danny Ferry,San Antonio Spurs,2003,9.4,.355,.350,1.2,0.3,0.1,0.1,0.4,1.9,5.1,SF
303,Anthony Goldwire,San Antonio Spurs,2003,5.1,.278,.250,0.3,0.3,0.3,0.0,0.2,1.2,2.5,PG
304,Mengke Bateer,San Antonio Spurs,2003,3.8,.235,.333,0.8,0.3,0.0,0.0,0.5,0.8,-8.4,C
305,Devin Brown,San Antonio Spurs,2003,3.1,.500,,1.0,0.3,0.0,0.0,0.7,1.7,13.8,SG
306,Kobe Bryant,Los Angeles Lakers,2002,38.3,.469,.250,5.5,5.5,1.5,0.4,2.8,25.2,23.2,SG
307,Shaquille O'Neal,Los Angeles Lakers,2002,36.1,.579,.000,10.7,3.0,0.6,2.0,2.6,27.2,29.7,C
308,Derek Fisher,Los Angeles Lakers,2002,28.2,.411,.413,2.1,2.6,0.9,0.1,0.9,11.2,14.0,PG
309,Rick Fox,Los Angeles Lakers,2002,27.9,.421,.313,4.7,3.5,0.8,0.3,1.6,7.9,11.3,SF
310,Robert Horry,Los Angeles Lakers,2002,26.4,.398,.374,5.9,2.9,1.0,1.1,1.1,6.8,14.5,PF
311,Samaki Walker,Los Angeles Lakers,2002,24.0,.512,,7.0,0.9,0.4,1.3,0.8,6.7,14.5,PF
312,Devean George,Los Angeles Lakers,2002,21.5,.411,.371,3.7,1.4,0.9,0.5,0.8,7.1,12.6,SF
313,Lindsey Hunter,Los Angeles Lakers,2002,19.7,.382,.380,1.5,1.6,0.8,0.2,0.7,5.8,9.4,PG
314,Mitch Richmond,Los Angeles Lakers,2002,11.1,.405,.290,1.5,0.9,0.3,0.1,0.6,4.1,10.7,SG
315,Mark Madsen,Los Angeles Lakers,2002,11.0,.452,.000,2.7,0.7,0.3,0.2,0.4,2.8,12.7,PF
316,Brian Shaw,Los Angeles Lakers,2002,10.9,.353,.330,1.9,1.5,0.4,0.1,0.6,2.9,11.8,PG
317,Stanislav Medvedenko,Los Angeles Lakers,2002,10.3,.477,.000,2.2,0.6,0.4,0.2,0.6,4.7,15.6,C
318,Jelani McCoy,Los Angeles Lakers,2002,5.0,.571,,1.2,0.3,0.0,0.2,0.4,1.2,9.5,C
319,Joe Crispin,Los Angeles Lakers,2002,4.5,.250,.000,0.2,0.3,0.2,0.0,0.2,1.7,5.0,PG
320,Mike Penberthy,Los Angeles Lakers,2002,4.0,.500,,0.7,0.7,0.7,0.0,0.0,1.7,31.3,PG
321,Kobe Bryant,Los Angeles Lakers,2001,40.9,.464,.305,5.9,5.0,1.7,0.6,3.2,28.5,24.5,SG
322,Shaquille O'Neal,Los Angeles Lakers,2001,39.5,.572,.000,12.7,3.7,0.6,2.8,2.9,28.7,30.2,C
323,Derek Fisher,Los Angeles Lakers,2001,35.5,.412,.397,3.0,4.4,2.0,0.1,1.5,11.5,14.0,PG
324,Horace Grant,Los Angeles Lakers,2001,31.0,.462,.000,7.1,1.6,0.7,0.8,0.6,8.5,14.3,PF
325,Rick Fox,Los Angeles Lakers,2001,27.9,.444,.393,4.0,3.2,0.9,0.4,1.7,9.6,13.8,SF
326,Ron Harper,Los Angeles Lakers,2001,24.2,.469,.264,3.5,2.4,0.8,0.5,1.3,6.5,12.5,PG
327,Brian Shaw,Los Angeles Lakers,2001,22.9,.399,.311,3.8,3.2,0.6,0.3,1.2,5.3,10.9,SG
328,Robert Horry,Los Angeles Lakers,2001,20.1,.387,.346,3.7,1.6,0.7,0.7,1.0,5.2,11.0,PF
329,Isaiah Rider,Los Angeles Lakers,2001,18.0,.426,.370,2.3,1.7,0.4,0.1,1.5,7.6,11.8,SG
330,Mike Penberthy,Los Angeles Lakers,2001,16.1,.414,.396,1.2,1.3,0.4,0.0,0.6,5.0,11.2,PG
331,Tyronn Lue,Los Angeles Lakers,2001,12.3,.427,.324,0.8,1.2,0.5,0.0,0.7,3.4,8.7,PG
332,Devean George,Los Angeles Lakers,2001,10.1,.309,.221,1.9,0.3,0.3,0.3,0.6,3.1,6.2,SF
333,Mark Madsen,Los Angeles Lakers,2001,9.2,.487,1.000,2.2,0.3,0.1,0.1,0.4,2.0,9.2,PF
334,Greg Foster,Los Angeles Lakers,2001,7.3,.421,.333,1.8,0.5,0.1,0.2,0.4,2.0,9.5,C
335,Stanislav Medvedenko,Los Angeles Lakers,2001,5.6,.480,1.000,1.3,0.3,0.1,0.1,0.4,4.6,21.8,PF
336,Shaquille O'Neal,Los Angeles Lakers,2000,40.0,.574,.000,13.6,3.8,0.5,3.0,2.8,29.7,30.6,C
337,Kobe Bryant,Los Angeles Lakers,2000,38.2,.468,.319,6.3,4.9,1.6,0.9,2.8,22.5,21.7,SG
338,Glen Rice,Los Angeles Lakers,2000,31.6,.430,.367,4.1,2.2,0.6,0.2,1.4,15.9,16.2,SF
339,Ron Harper,Los Angeles Lakers,2000,25.5,.399,.311,4.2,3.4,1.1,0.5,1.7,7.0,12.0,PG
340,A.C. Green,Los Angeles Lakers,2000,23.5,.447,.250,5.9,1.0,0.6,0.2,0.6,5.0,11.2,PF
341,Derek Fisher,Los Angeles Lakers,2000,23.1,.346,.313,1.8,2.8,1.0,0.0,1.0,6.3,9.6,PG
342,Robert Horry,Los Angeles Lakers,2000,22.2,.438,.309,4.8,1.6,1.1,1.1,1.0,5.7,14.3,PF
343,Tyronn Lue,Los Angeles Lakers,2000,18.3,.487,.500,1.5,2.1,0.4,0.0,1.1,6.0,10.5,PG
344,Rick Fox,Los Angeles Lakers,2000,18.0,.414,.326,2.4,1.7,0.6,0.3,1.1,6.5,11.7,SF
345,Brian Shaw,Los Angeles Lakers,2000,16.9,.382,.310,2.9,2.7,0.5,0.2,1.0,4.1,10.9,SG
346,John Celestand,Los Angeles Lakers,2000,11.6,.333,.222,0.7,1.3,0.4,0.0,1.0,2.3,2.7,PG
347,Devean George,Los Angeles Lakers,2000,7.0,.389,.340,1.5,0.2,0.2,0.1,0.4,3.2,12.1,SF
348,John Salley,Los Angeles Lakers,2000,6.7,.362,,1.4,0.6,0.2,0.3,0.4,1.6,8.3,C
349,Travis Knight,Los Angeles Lakers,2000,6.5,.390,,2.0,0.4,0.1,0.4,0.4,1.7,9.5,C
350,Sam Jacobson,Los Angeles Lakers,2000,6.0,.556,,0.3,0.7,0.3,0.0,0.7,3.3,14.1,PG
351,Tim Duncan,San Antonio Spurs,1999,39.3,.495,.143,11.4,2.4,0.9,2.5,2.9,21.7,23.2,PF
352,Avery Johnson,San Antonio Spurs,1999,33.4,.473,.083,2.4,7.4,1.0,0.2,2.2,9.7,14.0,PG
353,David Robinson,San Antonio Spurs,1999,31.7,.509,.000,10.0,2.1,1.4,2.4,2.2,15.8,24.9,C
354,Sean Elliott,San Antonio Spurs,1999,30.2,.410,.328,4.3,2.3,0.5,0.3,1.4,11.2,12.6,SF
355,Mario Elie,San Antonio Spurs,1999,27.5,.471,.374,2.9,1.9,1.0,0.3,1.3,9.7,14.5,SG
356,Jaren Jackson,San Antonio Spurs,1999,18.3,.380,.361,2.1,1.0,0.9,0.2,0.8,6.4,12.5,SG
357,Steve Kerr,San Antonio Spurs,1999,16.7,.391,.313,1.0,1.1,0.5,0.1,0.5,4.4,9.9,PG
358,Jerome Kersey,San Antonio Spurs,1999,15.5,.340,.214,2.9,0.9,0.8,0.3,0.7,3.2,7.4,SF
359,Antonio Daniels,San Antonio Spurs,1999,13.1,.454,.294,1.1,2.3,0.6,0.1,0.9,4.7,16.1,PG
360,Malik Rose,San Antonio Spurs,1999,12.9,.463,.000,3.9,0.6,0.9,0.5,1.2,6.0,19.7,PF
361,Will Perdue,San Antonio Spurs,1999,12.0,.633,,3.7,0.5,0.2,0.3,0.6,2.4,11.7,C
362,Gerard King,San Antonio Spurs,1999,3.3,.429,,0.7,0.2,0.1,0.1,0.2,1.2,13.6,SF
363,Andrew Gaze,San Antonio Spurs,1999,3.1,.320,.313,0.3,0.3,0.1,0.1,0.2,1.1,8.5,SG
364,Brandon Williams,San Antonio Spurs,1999,1.3,,,0.3,0.0,0.0,0.0,0.0,0.7,24.4,SG
365,Michael Jordan,Chicago Bulls,1998,38.8,.465,.238,5.8,3.5,1.7,0.5,2.3,28.7,25.2,SG
366,Scottie Pippen,Chicago Bulls,1998,37.5,.447,.318,5.2,5.8,1.8,1.0,2.5,19.1,20.4,SF
367,Dennis Rodman,Chicago Bulls,1998,35.7,.431,.174,15.0,2.9,0.6,0.2,1.8,4.7,12.4,PF
368,Toni Kukoč,Chicago Bulls,1998,30.2,.455,.362,4.4,4.2,1.0,0.5,2.1,13.3,17.3,SF
369,Luc Longley,Chicago Bulls,1998,29.4,.455,,5.9,2.8,0.6,1.1,2.2,11.4,13.5,C
370,Ron Harper,Chicago Bulls,1998,27.9,.441,.190,3.5,2.9,1.3,0.6,1.1,9.3,14.7,PG
371,Steve Kerr,Chicago Bulls,1998,22.4,.454,.438,1.5,1.9,0.5,0.1,0.5,7.5,12.9,PG
372,Randy Brown,Chicago Bulls,1998,16.2,.384,.000,1.3,2.1,1.0,0.2,0.9,4.1,10.1,PG
373,Jason Caffey,Chicago Bulls,1998,13.9,.503,.000,3.4,0.7,0.3,0.3,0.9,5.3,14.4,PF
374,Scott Burrell,Chicago Bulls,1998,13.7,.424,.354,2.5,0.8,0.8,0.5,0.6,5.2,15.7,SF
375,Dickey Simpkins,Chicago Bulls,1998,11.3,.634,.000,1.5,0.8,0.2,0.1,0.6,3.7,11.9,PF
376,Rusty LaRue,Chicago Bulls,1998,10.0,.408,.250,0.6,0.4,0.2,0.1,0.4,3.5,7.3,PG
377,Bill Wennington,Chicago Bulls,1998,9.7,.436,,1.7,0.4,0.1,0.1,0.3,3.5,9.4,C
378,Joe Kleine,Chicago Bulls,1998,8.6,.368,,1.7,0.7,0.1,0.1,0.6,2.0,5.5,C
379,Jud Buechler,Chicago Bulls,1998,8.2,.483,.385,1.0,0.7,0.3,0.2,0.3,2.7,14.1,SF
380,Keith Booth,Chicago Bulls,1998,2.8,.333,.000,0.7,0.2,0.0,0.0,0.5,1.7,13.8,SF
381,David Vaughn,Chicago Bulls,1998,2.0,1.000,,0.3,0.0,0.0,0.0,0.0,1.3,23.3,PF
382,Michael Jordan,Chicago Bulls,1997,37.9,.486,.374,5.9,4.3,1.7,0.5,2.0,29.6,27.8,SG
383,Scottie Pippen,Chicago Bulls,1997,37.7,.474,.368,6.5,5.7,1.9,0.5,2.6,20.2,21.3,SF
384,Dennis Rodman,Chicago Bulls,1997,35.4,.448,.263,16.1,3.1,0.6,0.3,2.0,5.7,13.9,PF
385,Toni Kukoč,Chicago Bulls,1997,28.2,.471,.331,4.6,4.5,1.1,0.5,1.6,13.2,20.2,SF
386,Luc Longley,Chicago Bulls,1997,24.9,.456,.000,5.6,2.4,0.4,1.1,1.9,9.1,13.4,C
387,Ron Harper,Chicago Bulls,1997,22.9,.436,.362,2.5,2.5,1.1,0.5,0.7,6.3,13.6,PG
388,Steve Kerr,Chicago Bulls,1997,22.7,.533,.464,1.6,2.1,0.8,0.0,0.5,8.1,15.6,PG
389,Jason Caffey,Chicago Bulls,1997,18.7,.532,.000,4.0,1.2,0.3,0.1,1.3,7.3,14.3,PF
390,Bison Dele,Chicago Bulls,1997,15.3,.413,,3.7,1.3,0.3,0.6,1.2,7.0,13.7,C
391,Randy Brown,Chicago Bulls,1997,14.7,.420,.182,1.5,1.8,1.1,0.2,0.8,4.7,13.0,PG
392,Bill Wennington,Chicago Bulls,1997,12.8,.498,.000,2.1,0.7,0.2,0.2,0.5,4.6,11.2,C
393,Robert Parish,Chicago Bulls,1997,9.4,.490,,2.1,0.5,0.1,0.4,0.7,3.7,14.3,C
394,Jud Buechler,Chicago Bulls,1997,9.3,.367,.333,1.7,0.8,0.3,0.3,0.4,1.8,9.8,SF
395,Dickey Simpkins,Chicago Bulls,1997,8.2,.333,.250,1.9,0.6,0.1,0.1,0.7,1.9,6.5,PF
396,Matt Steigenga,Chicago Bulls,1997,6.0,.250,.000,1.5,1.0,0.5,0.5,1.0,1.5,7.0,SF
397,Michael Jordan,Chicago Bulls,1996,37.7,.495,.427,6.6,4.3,2.2,0.5,2.4,30.4,29.4,SG
398,Scottie Pippen,Chicago Bulls,1996,36.7,.463,.374,6.4,5.9,1.7,0.7,2.7,19.4,21.0,SF
399,Dennis Rodman,Chicago Bulls,1996,32.6,.480,.111,14.9,2.5,0.6,0.4,2.2,5.5,13.6,PF
400,Luc Longley,Chicago Bulls,1996,26.5,.482,,5.1,1.9,0.4,1.4,1.8,9.1,11.9,C
401,Toni Kukoč,Chicago Bulls,1996,26.0,.490,.403,4.0,3.5,0.8,0.3,1.4,13.1,20.4,SF
402,Ron Harper,Chicago Bulls,1996,23.6,.467,.269,2.7,2.6,1.3,0.4,0.9,7.4,14.4,PG
403,Steve Kerr,Chicago Bulls,1996,23.4,.506,.515,1.3,2.3,0.8,0.0,0.5,8.4,15.2,PG
404,Bill Wennington,Chicago Bulls,1996,15.0,.493,1.000,2.5,0.6,0.3,0.2,0.5,5.3,11.0,C
405,Dickey Simpkins,Chicago Bulls,1996,11.4,.481,1.000,2.6,0.6,0.2,0.1,0.9,3.6,10.4,PF
406,John Salley,Chicago Bulls,1996,11.2,.343,,2.5,0.9,0.5,0.9,0.9,2.1,8.7,PF
407,Jud Buechler,Chicago Bulls,1996,10.0,.463,.444,1.5,0.8,0.5,0.1,0.5,3.8,14.1,SF
408,Randy Brown,Chicago Bulls,1996,9.9,.406,.091,1.0,1.1,0.8,0.2,0.5,2.7,11.2,PG
409,James Edwards,Chicago Bulls,1996,9.8,.373,,1.4,0.4,0.0,0.3,0.8,3.5,3.5,C
410,Jason Caffey,Chicago Bulls,1996,9.6,.438,.000,1.9,0.4,0.2,0.1,0.8,3.2,7.9,PF
411,Jack Haley,Chicago Bulls,1996,7.0,.333,,2.0,0.0,0.0,0.0,1.0,5.0,1.8,C
412,Hakeem Olajuwon,Houston Rockets,1995,39.6,.517,.188,10.8,3.5,1.8,3.4,3.3,27.8,26.0,C
413,Clyde Drexler,Houston Rockets,1995,37.1,.506,.357,7.0,4.4,1.8,0.7,2.5,21.4,22.1,SG
414,Otis Thorpe,Houston Rockets,1995,33.0,.563,.000,8.9,1.6,0.6,0.4,2.1,13.3,14.7,PF
415,Robert Horry,Houston Rockets,1995,32.4,.447,.379,5.1,3.4,1.5,1.2,1.9,10.2,13.5,PF
416,Vernon Maxwell,Houston Rockets,1995,31.8,.394,.324,2.6,4.3,1.2,0.2,2.1,13.3,11.9,SG
417,Kenny Smith,Houston Rockets,1995,25.1,.484,.429,1.9,4.0,0.9,0.1,1.5,10.4,16.2,PG
418,Mario Elie,Houston Rockets,1995,23.4,.499,.398,2.4,2.3,0.8,0.1,1.3,8.8,13.7,SF
419,Sam Cassell,Houston Rockets,1995,23.0,.427,.330,2.6,4.9,1.1,0.2,2.0,9.5,15.9,PG
420,Carl Herrera,Houston Rockets,1995,21.8,.523,.000,4.6,0.7,0.7,0.6,1.2,6.8,11.7,PF
421,Chucky Brown,Houston Rockets,1995,19.9,.603,.333,4.6,0.7,0.3,0.3,0.7,6.1,12.4,SF
422,Pete Chilcutt,Houston Rockets,1995,19.8,.445,.407,4.7,1.0,0.4,0.6,0.9,5.3,11.0,PF
423,Charles Jones,Houston Rockets,1995,12.0,.333,,2.3,0.0,0.0,0.3,0.0,1.0,2.6,PF
424,Tim Breaux,Houston Rockets,1995,8.1,.372,.240,0.8,0.4,0.3,0.1,0.4,3.0,8.9,SF
425,Tracy Murray,Houston Rockets,1995,8.1,.400,.422,0.9,0.2,0.3,0.1,0.6,3.5,8.2,SF
426,Scott Brooks,Houston Rockets,1995,6.6,.538,.471,0.5,0.8,0.3,0.0,0.5,3.4,17.3,PG
427,Žan Tabak,Houston Rockets,1995,4.9,.453,.000,1.5,0.1,0.1,0.2,0.5,2.0,11.2,C
428,Adrian Caldwell,Houston Rockets,1995,4.3,.250,,1.4,0.0,0.1,0.0,0.1,0.7,4.4,PF
429,Hakeem Olajuwon,Houston Rockets,1994,41.0,.528,.421,11.9,3.6,1.6,3.7,3.4,27.3,25.3,C
430,Otis Thorpe,Houston Rockets,1994,35.5,.561,.000,10.6,2.3,0.8,0.3,2.3,14.0,16.1,PF
431,Vernon Maxwell,Houston Rockets,1994,34.3,.389,.298,3.1,5.1,1.7,0.3,2.5,13.6,12.5,SG
432,Robert Horry,Houston Rockets,1994,29.3,.459,.324,5.4,2.9,1.5,0.9,1.7,9.9,14.2,SF
433,Kenny Smith,Houston Rockets,1994,28.3,.480,.405,1.8,4.2,0.8,0.1,1.6,11.6,14.2,PG
434,Chris Jent,Houston Rockets,1994,26.0,.500,.364,5.0,2.3,0.0,0.0,1.7,10.3,11.0,SF
435,Mario Elie,Houston Rockets,1994,24.0,.446,.335,2.7,3.1,0.7,0.1,1.6,9.3,13.4,SF
436,Carl Herrera,Houston Rockets,1994,17.2,.458,,3.8,0.5,0.4,0.3,0.9,4.7,9.1,PF
437,Sam Cassell,Houston Rockets,1994,17.0,.418,.295,2.0,2.9,0.9,0.1,1.4,6.7,13.1,PG
