,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage,in_playoff
44,Bismack Biyombo,CHO,2020,53,19.4,.543,,5.8,0.9,0.2,0.9,7.4,C,16.1,.570,-2.5,.113,0
45,Nemanja Bjelica,SAC,2020,72,27.9,.481,.419,6.4,2.8,0.9,0.6,11.5,PF,15.7,.602,1.7,.127,0
46,Eric Bledsoe,MIL,2020,61,27.0,.475,.344,4.6,5.4,0.9,0.4,14.9,PG,17.6,.571,1.8,.157,1
47,Bogdan Bogdanović,SAC,2020,61,29.0,.440,.372,3.4,3.4,1.0,0.2,15.1,SG,15.1,.565,0.6,.084,0
48,Bojan Bogdanović,UTA,2020,63,33.1,.447,.414,4.1,2.1,0.5,0.1,20.2,SF,15.6,.603,0.1,.096,1
49,Bol Bol,DEN,2020,7,12.4,.500,.444,2.7,0.9,0.3,0.9,5.7,PF,14.4,.617,-2.9,.063,1
50,Jonah Bolden,TOT,2020,7,6.7,.364,.000,1.3,0.0,0.4,0.3,1.4,C,4.9,.392,-8.8,-0.006,0
51,Marques Bolden,CLE,2020,1,3.0,,,2.0,0.0,1.0,0.0,0.0,C,19.8,,5.4,.282,0
52,Jordan Bone,DET,2020,10,5.3,.250,.200,0.4,0.8,0.1,0.0,1.2,PG,0.8,.300,-11.9,-0.117,0
53,Isaac Bonga,WAS,2020,66,18.9,.504,.352,3.4,1.2,0.7,0.3,5.0,SF,10.2,.608,-2.8,.068,0
54,Devin Booker,PHO,2020,70,35.9,.489,.354,4.2,6.5,0.7,0.3,26.6,SG,20.6,.618,2.2,.143,0
55,Chris Boucher,TOR,2020,62,13.2,.472,.322,4.5,0.4,0.4,1.0,6.6,C,20.7,.587,2.0,.224,1
56,Brian Bowen,IND,2020,6,5.2,.300,.000,1.2,0.0,0.0,0.2,1.0,SF,0.1,.300,-10.7,-0.107,1
57,Ky Bowman,GSW,2020,45,22.6,.417,.308,2.7,2.9,1.0,0.2,7.4,PG,9.1,.494,-4.3,-0.003,0
58,Avery Bradley,LAL,2020,49,24.2,.444,.364,2.3,1.3,0.9,0.1,8.6,SG,8.9,.537,-2.5,.062,1
59,Tony Bradley,UTA,2020,58,11.4,.667,1.000,4.6,0.4,0.2,0.6,4.9,C,21.7,.681,1.3,.236,1
60,Jarrell Brantley,UTA,2020,9,10.7,.357,.231,2.2,1.2,0.3,0.6,2.7,PF,8.0,.416,-4.6,-0.006,1
61,Ignas Brazdeikis,NYK,2020,9,5.9,.273,.111,0.6,0.4,0.0,0.1,1.9,SF,3.2,.351,-9.0,-0.108,0
62,Corey Brewer,SAC,2020,5,6.6,.500,.000,1.6,0.4,0.8,0.0,1.0,PF,8.7,.470,-3.1,.064,0
63,Mikal Bridges,PHO,2020,73,28.0,.510,.361,4.0,1.8,1.4,0.6,9.1,SF,12.9,.620,0.8,.113,0
64,Miles Bridges,CHO,2020,65,30.7,.424,.330,5.6,1.8,0.6,0.7,13.0,SF,12.1,.520,-2.5,.039,0
65,Oshae Brissett,TOR,2020,19,7.1,.361,.200,1.4,0.4,0.2,0.1,1.9,SF,6.7,.458,-5.4,.043,1
66,Ryan Broekhoff,DAL,2020,17,10.6,.373,.392,2.5,0.6,0.3,0.2,4.2,SF,13.1,.568,0.7,.109,1
67,Malcolm Brogdon,IND,2020,54,30.9,.438,.326,4.9,7.1,0.6,0.2,16.5,PG,17.7,.541,1.8,.114,1
68,Dillon Brooks,MEM,2020,73,28.9,.407,.358,3.3,2.1,0.9,0.4,16.2,SG,11.3,.510,-4.1,.027,0
69,Bruce Brown,DET,2020,58,28.2,.443,.344,4.7,4.0,1.1,0.5,8.9,PG,11.9,.518,-1.2,.062,0
70,Charlie Brown,ATL,2020,10,4.0,.316,.333,0.4,0.2,0.2,0.2,2.0,SG,11.0,.472,-2.5,-0.028,0
71,Jaylen Brown,BOS,2020,57,33.9,.481,.382,6.4,2.1,1.1,0.4,20.3,SG,16.9,.583,0.8,.123,1
72,Moses Brown,POR,2020,9,3.7,.400,,1.6,0.1,0.1,0.1,1.2,C,6.7,.407,-10.0,-0.065,1
73,Sterling Brown,MIL,2020,52,14.8,.371,.324,3.5,1.0,0.6,0.1,5.1,SF,9.5,.486,-2.0,.070,1
74,Troy Brown Jr.,WAS,2020,69,25.8,.439,.341,5.6,2.6,1.2,0.1,10.4,SF,13.7,.524,-1.3,.065,0
75,Jalen Brunson,DAL,2020,57,17.9,.466,.358,2.4,3.3,0.4,0.1,8.2,PG,14.9,.553,-0.9,.101,1
76,Thomas Bryant,WAS,2020,46,24.9,.581,.407,7.2,1.8,0.5,1.1,13.2,C,21.1,.649,2.2,.164,0
77,Reggie Bullock,NYK,2020,29,23.6,.402,.333,2.3,1.4,0.9,0.1,8.1,SG,9.3,.502,-3.0,.036,0
78,Trey Burke,TOT,2020,33,15.8,.450,.427,1.5,2.5,0.5,0.1,7.4,PG,15.6,.548,-0.2,.123,0
79,Alec Burks,TOT,2020,66,26.6,.418,.385,4.3,2.9,0.9,0.3,15.0,SF-SG,16.7,.561,0.5,.101,0
80,Deonte Burton,OKC,2020,39,9.1,.344,.189,1.5,0.4,0.2,0.3,2.7,SF,4.3,.396,-6.8,-0.067,1
81,Jimmy Butler,MIA,2020,58,33.8,.455,.244,6.7,6.0,1.8,0.6,19.9,SF,23.6,.585,5.4,.221,1
82,Bruno Caboclo,TOT,2020,30,8.1,.427,.182,2.0,0.4,0.5,0.6,3.0,C,14.1,.484,-2.1,.076,0
83,Devontae Cacok,LAL,2020,1,9.0,.500,,5.0,1.0,0.0,0.0,6.0,C,28.6,.500,0.2,.226,1
84,Kentavious Caldwell-Pope,LAL,2020,69,25.5,.467,.385,2.1,1.6,0.8,0.2,9.3,SG,11.0,.584,-0.8,.102,1
85,Vlatko Čančar,DEN,2020,14,3.2,.400,.167,0.7,0.2,0.1,0.1,1.2,PF,11.4,.507,-4.6,.062,1
86,Clint Capela,HOU,2020,39,32.8,.629,,13.8,1.2,0.8,1.8,13.9,C,20.6,.626,1.4,.184,1
87,DeMarre Carroll,TOT,2020,24,12.1,.379,.242,2.3,1.0,0.3,0.2,3.6,SF-C,9.1,.515,-3.9,.045,0
88,Jevon Carter,PHO,2020,58,16.3,.416,.425,2.0,1.4,0.8,0.3,4.9,PG,11.3,.563,0.6,.093,0
89,Vince Carter,ATL,2020,60,14.6,.352,.302,2.1,0.8,0.4,0.4,5.0,PF,7.5,.470,-4.3,-0.011,0
90,Wendell Carter Jr.,CHI,2020,43,29.2,.534,.207,9.4,1.2,0.8,0.8,11.3,C,15.5,.590,-2.4,.127,0
91,Michael Carter-Williams,ORL,2020,45,18.5,.427,.293,3.3,2.4,1.1,0.5,7.2,SG,15.3,.535,0.1,.111,1
92,Alex Caruso,LAL,2020,64,18.4,.412,.333,1.9,1.9,1.1,0.3,5.5,PG,10.8,.525,-0.2,.095,1
