,name,team,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,turnovers,points_per_game
315,Mark Madsen,Los Angeles Lakers,11.0,.452,.000,2.7,0.7,0.3,0.2,0.4,2.8
316,Brian Shaw,Los Angeles Lakers,10.9,.353,.330,1.9,1.5,0.4,0.1,0.6,2.9
317,Stanislav Medvedenko,Los Angeles Lakers,10.3,.477,.000,2.2,0.6,0.4,0.2,0.6,4.7
318,Jelani McCoy,Los Angeles Lakers,5.0,.571,,1.2,0.3,0.0,0.2,0.4,1.2
319,Joe Crispin,Los Angeles Lakers,4.5,.250,.000,0.2,0.3,0.2,0.0,0.2,1.7
320,Mike Penberthy,Los Angeles Lakers,4.0,.500,,0.7,0.7,0.7,0.0,0.0,1.7
321,Kobe Bryant,Los Angeles Lakers,40.9,.464,.305,5.9,5.0,1.7,0.6,3.2,28.5
322,Shaquille O'Neal,Los Angeles Lakers,39.5,.572,.000,12.7,3.7,0.6,2.8,2.9,28.7
323,Derek Fisher,Los Angeles Lakers,35.5,.412,.397,3.0,4.4,2.0,0.1,1.5,11.5
324,Horace Grant,Los Angeles Lakers,31.0,.462,.000,7.1,1.6,0.7,0.8,0.6,8.5
325,Rick Fox,Los Angeles Lakers,27.9,.444,.393,4.0,3.2,0.9,0.4,1.7,9.6
326,Ron Harper,Los Angeles Lakers,24.2,.469,.264,3.5,2.4,0.8,0.5,1.3,6.5
327,Brian Shaw,Los Angeles Lakers,22.9,.399,.311,3.8,3.2,0.6,0.3,1.2,5.3
328,Robert Horry,Los Angeles Lakers,20.1,.387,.346,3.7,1.6,0.7,0.7,1.0,5.2
329,Isaiah Rider,Los Angeles Lakers,18.0,.426,.370,2.3,1.7,0.4,0.1,1.5,7.6
330,Mike Penberthy,Los Angeles Lakers,16.1,.414,.396,1.2,1.3,0.4,0.0,0.6,5.0
331,Tyronn Lue,Los Angeles Lakers,12.3,.427,.324,0.8,1.2,0.5,0.0,0.7,3.4
332,Devean George,Los Angeles Lakers,10.1,.309,.221,1.9,0.3,0.3,0.3,0.6,3.1
333,Mark Madsen,Los Angeles Lakers,9.2,.487,1.000,2.2,0.3,0.1,0.1,0.4,2.0
334,Greg Foster,Los Angeles Lakers,7.3,.421,.333,1.8,0.5,0.1,0.2,0.4,2.0
335,Stanislav Medvedenko,Los Angeles Lakers,5.6,.480,1.000,1.3,0.3,0.1,0.1,0.4,4.6
336,Shaquille O'Neal,Los Angeles Lakers,40.0,.574,.000,13.6,3.8,0.5,3.0,2.8,29.7
337,Kobe Bryant,Los Angeles Lakers,38.2,.468,.319,6.3,4.9,1.6,0.9,2.8,22.5
338,Glen Rice,Los Angeles Lakers,31.6,.430,.367,4.1,2.2,0.6,0.2,1.4,15.9
339,Ron Harper,Los Angeles Lakers,25.5,.399,.311,4.2,3.4,1.1,0.5,1.7,7.0
340,A.C. Green,Los Angeles Lakers,23.5,.447,.250,5.9,1.0,0.6,0.2,0.6,5.0
341,Derek Fisher,Los Angeles Lakers,23.1,.346,.313,1.8,2.8,1.0,0.0,1.0,6.3
342,Robert Horry,Los Angeles Lakers,22.2,.438,.309,4.8,1.6,1.1,1.1,1.0,5.7
343,Tyronn Lue,Los Angeles Lakers,18.3,.487,.500,1.5,2.1,0.4,0.0,1.1,6.0
344,Rick Fox,Los Angeles Lakers,18.0,.414,.326,2.4,1.7,0.6,0.3,1.1,6.5
345,Brian Shaw,Los Angeles Lakers,16.9,.382,.310,2.9,2.7,0.5,0.2,1.0,4.1
346,John Celestand,Los Angeles Lakers,11.6,.333,.222,0.7,1.3,0.4,0.0,1.0,2.3
347,Devean George,Los Angeles Lakers,7.0,.389,.340,1.5,0.2,0.2,0.1,0.4,3.2
348,John Salley,Los Angeles Lakers,6.7,.362,,1.4,0.6,0.2,0.3,0.4,1.6
349,Travis Knight,Los Angeles Lakers,6.5,.390,,2.0,0.4,0.1,0.4,0.4,1.7
350,Sam Jacobson,Los Angeles Lakers,6.0,.556,,0.3,0.7,0.3,0.0,0.7,3.3
351,Tim Duncan,San Antonio Spurs,39.3,.495,.143,11.4,2.4,0.9,2.5,2.9,21.7
352,Avery Johnson,San Antonio Spurs,33.4,.473,.083,2.4,7.4,1.0,0.2,2.2,9.7
353,David Robinson,San Antonio Spurs,31.7,.509,.000,10.0,2.1,1.4,2.4,2.2,15.8
354,Sean Elliott,San Antonio Spurs,30.2,.410,.328,4.3,2.3,0.5,0.3,1.4,11.2
355,Mario Elie,San Antonio Spurs,27.5,.471,.374,2.9,1.9,1.0,0.3,1.3,9.7
356,Jaren Jackson,San Antonio Spurs,18.3,.380,.361,2.1,1.0,0.9,0.2,0.8,6.4
357,Steve Kerr,San Antonio Spurs,16.7,.391,.313,1.0,1.1,0.5,0.1,0.5,4.4
358,Jerome Kersey,San Antonio Spurs,15.5,.340,.214,2.9,0.9,0.8,0.3,0.7,3.2
359,Antonio Daniels,San Antonio Spurs,13.1,.454,.294,1.1,2.3,0.6,0.1,0.9,4.7
360,Malik Rose,San Antonio Spurs,12.9,.463,.000,3.9,0.6,0.9,0.5,1.2,6.0
361,Will Perdue,San Antonio Spurs,12.0,.633,,3.7,0.5,0.2,0.3,0.6,2.4
362,Gerard King,San Antonio Spurs,3.3,.429,,0.7,0.2,0.1,0.1,0.2,1.2
363,Andrew Gaze,San Antonio Spurs,3.1,.320,.313,0.3,0.3,0.1,0.1,0.2,1.1
364,Brandon Williams,San Antonio Spurs,1.3,,,0.3,0.0,0.0,0.0,0.0,0.7
365,Michael Jordan,Chicago Bulls,38.8,.465,.238,5.8,3.5,1.7,0.5,2.3,28.7
366,Scottie Pippen,Chicago Bulls,37.5,.447,.318,5.2,5.8,1.8,1.0,2.5,19.1
367,Dennis Rodman,Chicago Bulls,35.7,.431,.174,15.0,2.9,0.6,0.2,1.8,4.7
368,Toni Kukoč,Chicago Bulls,30.2,.455,.362,4.4,4.2,1.0,0.5,2.1,13.3
369,Luc Longley,Chicago Bulls,29.4,.455,,5.9,2.8,0.6,1.1,2.2,11.4
370,Ron Harper,Chicago Bulls,27.9,.441,.190,3.5,2.9,1.3,0.6,1.1,9.3
371,Steve Kerr,Chicago Bulls,22.4,.454,.438,1.5,1.9,0.5,0.1,0.5,7.5
372,Randy Brown,Chicago Bulls,16.2,.384,.000,1.3,2.1,1.0,0.2,0.9,4.1
373,Jason Caffey,Chicago Bulls,13.9,.503,.000,3.4,0.7,0.3,0.3,0.9,5.3
374,Scott Burrell,Chicago Bulls,13.7,.424,.354,2.5,0.8,0.8,0.5,0.6,5.2
375,Dickey Simpkins,Chicago Bulls,11.3,.634,.000,1.5,0.8,0.2,0.1,0.6,3.7
376,Rusty LaRue,Chicago Bulls,10.0,.408,.250,0.6,0.4,0.2,0.1,0.4,3.5
377,Bill Wennington,Chicago Bulls,9.7,.436,,1.7,0.4,0.1,0.1,0.3,3.5
378,Joe Kleine,Chicago Bulls,8.6,.368,,1.7,0.7,0.1,0.1,0.6,2.0
379,Jud Buechler,Chicago Bulls,8.2,.483,.385,1.0,0.7,0.3,0.2,0.3,2.7
380,Keith Booth,Chicago Bulls,2.8,.333,.000,0.7,0.2,0.0,0.0,0.5,1.7
381,David Vaughn,Chicago Bulls,2.0,1.000,,0.3,0.0,0.0,0.0,0.0,1.3
382,Michael Jordan,Chicago Bulls,37.9,.486,.374,5.9,4.3,1.7,0.5,2.0,29.6
383,Scottie Pippen,Chicago Bulls,37.7,.474,.368,6.5,5.7,1.9,0.5,2.6,20.2
384,Dennis Rodman,Chicago Bulls,35.4,.448,.263,16.1,3.1,0.6,0.3,2.0,5.7
385,Toni Kukoč,Chicago Bulls,28.2,.471,.331,4.6,4.5,1.1,0.5,1.6,13.2
386,Luc Longley,Chicago Bulls,24.9,.456,.000,5.6,2.4,0.4,1.1,1.9,9.1
387,Ron Harper,Chicago Bulls,22.9,.436,.362,2.5,2.5,1.1,0.5,0.7,6.3
388,Steve Kerr,Chicago Bulls,22.7,.533,.464,1.6,2.1,0.8,0.0,0.5,8.1
389,Jason Caffey,Chicago Bulls,18.7,.532,.000,4.0,1.2,0.3,0.1,1.3,7.3
390,Bison Dele,Chicago Bulls,15.3,.413,,3.7,1.3,0.3,0.6,1.2,7.0
391,Randy Brown,Chicago Bulls,14.7,.420,.182,1.5,1.8,1.1,0.2,0.8,4.7
392,Bill Wennington,Chicago Bulls,12.8,.498,.000,2.1,0.7,0.2,0.2,0.5,4.6
393,Robert Parish,Chicago Bulls,9.4,.490,,2.1,0.5,0.1,0.4,0.7,3.7
394,Jud Buechler,Chicago Bulls,9.3,.367,.333,1.7,0.8,0.3,0.3,0.4,1.8
395,Dickey Simpkins,Chicago Bulls,8.2,.333,.250,1.9,0.6,0.1,0.1,0.7,1.9
396,Matt Steigenga,Chicago Bulls,6.0,.250,.000,1.5,1.0,0.5,0.5,1.0,1.5
397,Michael Jordan,Chicago Bulls,37.7,.495,.427,6.6,4.3,2.2,0.5,2.4,30.4
398,Scottie Pippen,Chicago Bulls,36.7,.463,.374,6.4,5.9,1.7,0.7,2.7,19.4
399,Dennis Rodman,Chicago Bulls,32.6,.480,.111,14.9,2.5,0.6,0.4,2.2,5.5
400,Luc Longley,Chicago Bulls,26.5,.482,,5.1,1.9,0.4,1.4,1.8,9.1
401,Toni Kukoč,Chicago Bulls,26.0,.490,.403,4.0,3.5,0.8,0.3,1.4,13.1
402,Ron Harper,Chicago Bulls,23.6,.467,.269,2.7,2.6,1.3,0.4,0.9,7.4
403,Steve Kerr,Chicago Bulls,23.4,.506,.515,1.3,2.3,0.8,0.0,0.5,8.4
404,Bill Wennington,Chicago Bulls,15.0,.493,1.000,2.5,0.6,0.3,0.2,0.5,5.3
405,Dickey Simpkins,Chicago Bulls,11.4,.481,1.000,2.6,0.6,0.2,0.1,0.9,3.6
406,John Salley,Chicago Bulls,11.2,.343,,2.5,0.9,0.5,0.9,0.9,2.1
407,Jud Buechler,Chicago Bulls,10.0,.463,.444,1.5,0.8,0.5,0.1,0.5,3.8
408,Randy Brown,Chicago Bulls,9.9,.406,.091,1.0,1.1,0.8,0.2,0.5,2.7
409,James Edwards,Chicago Bulls,9.8,.373,,1.4,0.4,0.0,0.3,0.8,3.5
410,Jason Caffey,Chicago Bulls,9.6,.438,.000,1.9,0.4,0.2,0.1,0.8,3.2
411,Jack Haley,Chicago Bulls,7.0,.333,,2.0,0.0,0.0,0.0,1.0,5.0
412,Hakeem Olajuwon,Houston Rockets,39.6,.517,.188,10.8,3.5,1.8,3.4,3.3,27.8
413,Clyde Drexler,Houston Rockets,37.1,.506,.357,7.0,4.4,1.8,0.7,2.5,21.4
414,Otis Thorpe,Houston Rockets,33.0,.563,.000,8.9,1.6,0.6,0.4,2.1,13.3
415,Robert Horry,Houston Rockets,32.4,.447,.379,5.1,3.4,1.5,1.2,1.9,10.2
416,Vernon Maxwell,Houston Rockets,31.8,.394,.324,2.6,4.3,1.2,0.2,2.1,13.3
417,Kenny Smith,Houston Rockets,25.1,.484,.429,1.9,4.0,0.9,0.1,1.5,10.4
418,Mario Elie,Houston Rockets,23.4,.499,.398,2.4,2.3,0.8,0.1,1.3,8.8
419,Sam Cassell,Houston Rockets,23.0,.427,.330,2.6,4.9,1.1,0.2,2.0,9.5
420,Carl Herrera,Houston Rockets,21.8,.523,.000,4.6,0.7,0.7,0.6,1.2,6.8
421,Chucky Brown,Houston Rockets,19.9,.603,.333,4.6,0.7,0.3,0.3,0.7,6.1
422,Pete Chilcutt,Houston Rockets,19.8,.445,.407,4.7,1.0,0.4,0.6,0.9,5.3
423,Charles Jones,Houston Rockets,12.0,.333,,2.3,0.0,0.0,0.3,0.0,1.0
424,Tim Breaux,Houston Rockets,8.1,.372,.240,0.8,0.4,0.3,0.1,0.4,3.0
425,Tracy Murray,Houston Rockets,8.1,.400,.422,0.9,0.2,0.3,0.1,0.6,3.5
426,Scott Brooks,Houston Rockets,6.6,.538,.471,0.5,0.8,0.3,0.0,0.5,3.4
427,Žan Tabak,Houston Rockets,4.9,.453,.000,1.5,0.1,0.1,0.2,0.5,2.0
428,Adrian Caldwell,Houston Rockets,4.3,.250,,1.4,0.0,0.1,0.0,0.1,0.7
429,Hakeem Olajuwon,Houston Rockets,41.0,.528,.421,11.9,3.6,1.6,3.7,3.4,27.3
430,Otis Thorpe,Houston Rockets,35.5,.561,.000,10.6,2.3,0.8,0.3,2.3,14.0
431,Vernon Maxwell,Houston Rockets,34.3,.389,.298,3.1,5.1,1.7,0.3,2.5,13.6
432,Robert Horry,Houston Rockets,29.3,.459,.324,5.4,2.9,1.5,0.9,1.7,9.9
433,Kenny Smith,Houston Rockets,28.3,.480,.405,1.8,4.2,0.8,0.1,1.6,11.6
434,Chris Jent,Houston Rockets,26.0,.500,.364,5.0,2.3,0.0,0.0,1.7,10.3
435,Mario Elie,Houston Rockets,24.0,.446,.335,2.7,3.1,0.7,0.1,1.6,9.3
436,Carl Herrera,Houston Rockets,17.2,.458,,3.8,0.5,0.4,0.3,0.9,4.7
437,Sam Cassell,Houston Rockets,17.0,.418,.295,2.0,2.9,0.9,0.1,1.4,6.7
438,Scott Brooks,Houston Rockets,16.8,.491,.377,1.4,2.0,0.7,0.0,0.8,5.2
439,Earl Cureton,Houston Rockets,15.0,.250,,6.0,0.0,0.0,0.0,0.5,2.0
440,Matt Bullard,Houston Rockets,11.2,.345,.325,1.3,1.0,0.2,0.1,0.4,3.5
441,Larry Robinson,Houston Rockets,9.2,.500,.250,1.7,1.0,1.2,0.0,1.7,4.2
442,Eric Riley,Houston Rockets,4.7,.486,.000,1.3,0.2,0.1,0.2,0.3,1.9
443,Richard Petruška,Houston Rockets,4.2,.435,.467,1.4,0.0,0.1,0.1,0.7,2.4
444,Michael Jordan,Chicago Bulls,39.3,.495,.352,6.7,5.5,2.8,0.8,2.7,32.6
445,Scottie Pippen,Chicago Bulls,38.6,.473,.237,7.7,6.3,2.1,0.9,3.0,18.6
446,Horace Grant,Chicago Bulls,35.6,.508,.200,9.5,2.6,1.2,1.2,1.4,13.2
447,B.J. Armstrong,Chicago Bulls,30.4,.499,.453,1.8,4.0,0.8,0.1,1.0,12.3
448,Bill Cartwright,Chicago Bulls,19.9,.411,,3.7,1.3,0.3,0.2,1.0,5.6
449,Scott Williams,Chicago Bulls,19.3,.466,.000,6.4,1.0,0.8,0.9,1.0,5.9
450,John Paxson,Chicago Bulls,17.5,.451,.463,0.8,2.3,0.6,0.0,0.5,4.2
451,Rodney McCray,Chicago Bulls,15.9,.451,.400,2.5,1.3,0.2,0.2,0.8,3.5
452,Stacey King,Chicago Bulls,13.9,.471,.333,2.7,0.9,0.3,0.3,0.9,5.4
453,Will Perdue,Chicago Bulls,13.9,.557,.000,4.0,1.0,0.3,0.7,1.0,4.7
454,Trent Tucker,Chicago Bulls,13.2,.485,.397,1.0,1.2,0.3,0.1,0.3,5.2
455,Darrell Walker,Chicago Bulls,13.1,.403,,1.4,1.6,0.8,0.1,0.4,2.6
456,Ed Nealy,Chicago Bulls,7.2,.435,.200,1.5,0.2,0.3,0.1,0.2,2.1
457,Corey Williams,Chicago Bulls,6.9,.365,.333,0.9,0.7,0.1,0.1,0.3,2.3
458,Joe Courtney,Chicago Bulls,6.8,.444,,0.4,0.2,0.4,0.2,0.6,2.2
459,Ricky Blanton,Chicago Bulls,6.5,.429,,1.5,0.5,1.0,0.0,0.5,3.0
460,Jo Jo English,Chicago Bulls,5.2,.300,.000,1.0,0.2,0.5,0.3,0.7,1.0
461,Michael Jordan,Chicago Bulls,38.8,.519,.270,6.4,6.1,2.3,0.9,2.5,30.1
462,Scottie Pippen,Chicago Bulls,38.6,.506,.200,7.7,7.0,1.9,1.1,3.1,21.0
463,Horace Grant,Chicago Bulls,35.3,.578,.000,10.0,2.7,1.2,1.6,1.2,14.2
464,John Paxson,Chicago Bulls,24.6,.528,.273,1.2,3.1,0.6,0.1,0.6,7.0
465,Bill Cartwright,Chicago Bulls,23.0,.467,,5.1,1.4,0.3,0.2,1.2,8.0
466,B.J. Armstrong,Chicago Bulls,22.9,.481,.402,1.8,3.2,0.6,0.1,1.1,9.9
467,Stacey King,Chicago Bulls,16.1,.506,.400,2.6,1.0,0.3,0.3,1.0,7.0
468,Will Perdue,Chicago Bulls,13.1,.547,.500,4.1,1.0,0.2,0.6,0.9,4.5
469,Cliff Levingston,Chicago Bulls,12.9,.498,.167,2.9,0.8,0.3,0.6,0.5,3.9
470,Bob Hansen,Chicago Bulls,11.7,.444,.280,1.1,1.0,0.4,0.0,0.4,2.5
471,Scott Williams,Chicago Bulls,11.0,.483,.000,3.9,0.8,0.2,0.6,0.6,3.4
472,Craig Hodges,Chicago Bulls,9.9,.384,.375,0.4,1.0,0.3,0.0,0.4,4.3
473,Dennis Hopson,Chicago Bulls,5.0,.500,,0.0,0.0,0.5,0.0,0.0,1.0
474,Mark Randall,Chicago Bulls,4.5,.455,.000,0.6,0.5,0.0,0.0,0.4,1.7
475,Rory Sparrow,Chicago Bulls,4.5,.125,.500,0.3,1.0,0.0,0.0,0.5,0.8
476,Chuck Nevitt,Chicago Bulls,2.3,.333,,0.3,0.3,0.0,0.0,0.8,0.5
477,Michael Jordan,Chicago Bulls,37.0,.539,.312,6.0,5.5,2.7,1.0,2.5,31.5
478,Scottie Pippen,Chicago Bulls,36.8,.520,.309,7.3,6.2,2.4,1.1,2.8,17.8
479,Horace Grant,Chicago Bulls,33.9,.547,.167,8.4,2.3,1.2,0.9,1.2,12.8
480,Bill Cartwright,Chicago Bulls,28.8,.490,,6.2,1.6,0.4,0.2,1.4,9.6
481,John Paxson,Chicago Bulls,24.0,.548,.438,1.1,3.6,0.8,0.0,0.8,8.7
482,B.J. Armstrong,Chicago Bulls,21.1,.481,.500,1.8,3.7,0.9,0.0,1.3,8.8
483,Stacey King,Chicago Bulls,15.8,.467,.000,2.7,0.9,0.3,0.6,1.2,5.5
484,Will Perdue,Chicago Bulls,13.1,.494,.000,4.5,0.6,0.3,0.8,1.0,4.1
485,Cliff Levingston,Chicago Bulls,13.0,.450,.250,2.9,0.7,0.4,0.6,0.6,4.0
486,Dennis Hopson,Chicago Bulls,11.9,.426,.200,1.8,1.1,0.4,0.2,1.0,4.3
487,Craig Hodges,Chicago Bulls,11.5,.424,.383,0.6,1.3,0.5,0.0,0.5,5.0
488,Scott Williams,Chicago Bulls,6.6,.510,.500,1.9,0.3,0.2,0.3,0.5,2.5
489,Isiah Thomas,Detroit Pistons,37.0,.438,.309,3.8,9.4,1.7,0.2,4.0,18.4
490,Joe Dumars,Detroit Pistons,34.4,.480,.400,2.8,4.9,0.8,0.0,1.9,17.8
491,Bill Laimbeer,Detroit Pistons,33.0,.484,.361,9.6,2.1,0.7,1.0,1.2,12.1
492,Dennis Rodman,Detroit Pistons,29.0,.581,.111,9.7,0.9,0.6,0.7,1.1,8.8
493,James Edwards,Detroit Pistons,27.8,.498,.000,4.2,0.8,0.3,0.5,1.6,14.5
494,Mark Aguirre,Detroit Pistons,25.7,.488,.333,3.9,1.9,0.4,0.2,1.6,14.1
495,Vinnie Johnson,Detroit Pistons,24.0,.431,.147,3.1,3.1,0.9,0.2,1.5,9.8
496,John Salley,Detroit Pistons,23.3,.512,.250,5.4,0.8,0.6,1.9,1.2,7.2
497,Gerald Henderson,Detroit Pistons,7.3,.506,.452,0.7,1.3,0.2,0.0,0.3,2.3
498,William Bedford,Detroit Pistons,5.9,.432,.167,1.4,0.1,0.1,0.4,0.5,2.8
499,Dave Greenwood,Detroit Pistons,5.5,.423,,2.1,0.3,0.1,0.2,0.4,1.6
500,Stan Kimbrough,Detroit Pistons,5.0,.438,,0.7,0.5,0.4,0.0,0.4,1.6
501,Scott Hastings,Detroit Pistons,4.2,.303,.250,0.8,0.2,0.1,0.1,0.2,1.1
502,Ralph Lewis,Detroit Pistons,1.5,.000,,0.0,0.0,0.0,0.0,0.3,0.0
503,Isiah Thomas,Detroit Pistons,36.6,.464,.273,3.4,8.3,1.7,0.3,3.7,18.2
504,Joe Dumars,Detroit Pistons,34.9,.505,.483,2.5,5.7,0.9,0.1,2.6,17.2
505,Bill Laimbeer,Detroit Pistons,32.6,.499,.349,9.6,2.2,0.6,1.2,1.6,13.7
506,Adrian Dantley,Detroit Pistons,31.9,.521,,3.9,2.2,0.5,0.1,1.9,18.4
507,Mark Aguirre,Detroit Pistons,29.7,.483,.293,4.2,2.5,0.4,0.2,1.9,15.5
508,Dennis Rodman,Detroit Pistons,26.9,.595,.231,9.4,1.2,0.7,0.9,1.5,9.0
509,Vinnie Johnson,Detroit Pistons,25.3,.464,.295,3.1,3.0,0.9,0.2,1.3,13.8
510,Rick Mahorn,Detroit Pistons,24.9,.517,.000,6.9,0.8,0.6,0.9,1.3,7.3
511,John Salley,Detroit Pistons,21.8,.498,.000,5.0,1.1,0.6,1.1,1.5,7.0
512,James Edwards,Detroit Pistons,16.5,.500,.000,3.0,0.6,0.1,0.4,0.9,7.3
513,Micheal Williams,Detroit Pistons,7.3,.364,.222,0.6,1.4,0.3,0.1,0.9,2.6
514,John Long,Detroit Pistons,6.3,.475,,0.5,0.6,0.0,0.1,0.4,2.0
515,Darryl Dawkins,Detroit Pistons,3.4,.474,,0.5,0.1,0.0,0.1,0.3,1.9
516,Pace Mannion,Detroit Pistons,2.8,1.000,,0.6,0.0,0.2,0.0,0.0,0.8
517,Fennis Dembo,Detroit Pistons,2.4,.333,.000,0.7,0.2,0.0,0.0,0.2,1.2
518,Steve Harris,Detroit Pistons,2.3,.250,,0.7,0.0,0.3,0.0,0.0,1.3
519,Jim Rowinski,Detroit Pistons,1.3,.000,,0.3,0.0,0.0,0.0,0.0,0.7
520,Byron Scott,Los Angeles Lakers,37.6,.527,.346,4.1,4.1,1.9,0.3,2.0,21.7
521,Magic Johnson,Los Angeles Lakers,36.6,.492,.196,6.2,11.9,1.6,0.2,3.7,19.6
522,James Worthy,Los Angeles Lakers,35.4,.531,.125,5.0,3.9,1.0,0.7,2.1,19.7
523,A.C. Green,Los Angeles Lakers,32.1,.503,.000,8.7,1.1,1.1,0.5,1.5,11.4
524,Michael Cooper,Los Angeles Lakers,29.4,.392,.320,3.7,4.7,1.1,0.4,1.7,8.7
525,Kareem Abdul-Jabbar,Los Angeles Lakers,28.9,.532,.000,6.0,1.7,0.6,1.2,2.0,14.6
526,Mychal Thompson,Los Angeles Lakers,25.1,.512,.000,6.1,0.8,0.5,1.0,1.4,11.6
527,Tony Campbell,Los Angeles Lakers,18.6,.564,.333,2.1,1.2,0.8,0.2,2.0,11.0
528,Wes Matthews,Los Angeles Lakers,13.8,.460,.233,1.3,2.7,0.5,0.1,1.4,5.7
529,Kurt Rambis,Los Angeles Lakers,12.1,.548,,3.8,0.8,0.6,0.2,0.8,4.0
530,Milt Wagner,Los Angeles Lakers,9.5,.422,.200,0.7,1.5,0.2,0.1,0.6,3.8
531,Mike Smrek,Los Angeles Lakers,8.8,.427,,1.8,0.2,0.1,0.9,0.6,2.8
532,Ray Tolbert,Los Angeles Lakers,5.9,.571,,1.4,0.4,0.2,0.2,0.8,3.0
533,Billy Thompson,Los Angeles Lakers,4.2,.231,,1.0,0.1,0.1,0.0,0.7,1.6
534,Jeff Lamp,Los Angeles Lakers,2.3,,,0.0,0.0,0.0,0.0,0.0,0.7
535,Magic Johnson,Los Angeles Lakers,36.3,.522,.205,6.3,12.2,1.7,0.5,3.8,23.9
536,James Worthy,Los Angeles Lakers,34.4,.539,.000,5.7,2.8,1.3,1.0,2.0,19.4
537,Byron Scott,Los Angeles Lakers,33.3,.489,.436,3.5,3.4,1.5,0.2,1.8,17.0
538,Kareem Abdul-Jabbar,Los Angeles Lakers,31.3,.564,.333,6.7,2.6,0.6,1.2,2.4,17.5
539,A.C. Green,Los Angeles Lakers,28.4,.538,.000,7.8,1.1,0.9,1.0,1.3,10.8
540,Michael Cooper,Los Angeles Lakers,27.5,.438,.385,3.1,4.5,1.0,0.5,1.2,10.5
541,Mychal Thompson,Los Angeles Lakers,20.6,.480,.000,4.1,0.8,0.4,0.9,1.7,10.1
542,Kurt Rambis,Los Angeles Lakers,19.4,.521,,5.8,0.8,0.9,0.5,1.3,5.7
543,Billy Thompson,Los Angeles Lakers,12.9,.544,.000,2.9,1.0,0.3,0.5,1.0,5.6
544,Frank Brickowski,Los Angeles Lakers,10.9,.564,,2.6,0.3,0.4,0.1,0.7,3.9
545,Wes Matthews,Los Angeles Lakers,10.6,.476,.333,0.9,2.0,0.5,0.1,1.0,4.2
546,Adrian Branch,Los Angeles Lakers,6.8,.500,.000,1.7,0.5,0.5,0.1,0.8,4.3
547,Mike Smrek,Los Angeles Lakers,6.7,.500,,1.1,0.1,0.1,0.4,0.5,2.2
548,Larry Bird,Boston Celtics,38.0,.496,.423,9.8,6.8,2.0,0.6,3.2,25.8
549,Kevin McHale,Boston Celtics,35.3,.574,,8.1,2.7,0.4,2.0,2.2,21.3
550,Dennis Johnson,Boston Celtics,35.0,.455,.143,3.4,5.8,1.4,0.4,2.2,15.6
551,Robert Parish,Boston Celtics,31.7,.549,,9.5,1.8,0.8,1.4,2.3,16.1
552,Danny Ainge,Boston Celtics,30.1,.504,.356,2.9,5.1,1.2,0.1,1.6,10.7
553,Jerry Sichting,Boston Celtics,19.5,.570,.375,1.3,2.3,0.6,0.0,0.9,6.5
554,Bill Walton,Boston Celtics,19.3,.562,,6.8,2.1,0.5,1.3,1.9,7.6
555,Scott Wedman,Boston Celtics,17.7,.473,.354,2.4,1.1,0.5,0.3,0.7,8.0
556,Rick Carlisle,Boston Celtics,9.9,.487,.000,1.0,1.4,0.2,0.1,0.6,2.6
557,Sly Williams,Boston Celtics,9.0,.238,.000,2.5,0.3,0.2,0.2,1.2,2.8
558,David Thirdkill,Boston Celtics,7.9,.491,.000,1.4,0.3,0.2,0.1,0.4,3.3
559,Sam Vincent,Boston Celtics,7.6,.364,.250,0.8,1.2,0.3,0.1,0.9,3.2
560,Greg Kite,Boston Celtics,7.3,.374,.000,2.0,0.3,0.0,0.4,0.5,1.3
561,Magic Johnson,Los Angeles Lakers,36.1,.561,.189,6.2,12.6,1.5,0.3,4.0,18.3
562,James Worthy,Los Angeles Lakers,33.7,.572,.000,6.4,2.5,1.1,0.8,2.5,17.6
563,Kareem Abdul-Jabbar,Los Angeles Lakers,33.3,.599,.000,7.9,3.2,0.8,2.1,2.5,22.0
564,Byron Scott,Los Angeles Lakers,28.5,.539,.433,2.6,3.0,1.2,0.2,1.7,16.0
565,Michael Cooper,Los Angeles Lakers,26.7,.465,.285,3.1,5.2,1.1,0.6,1.9,8.6
566,Kurt Rambis,Los Angeles Lakers,19.7,.554,,6.4,0.8,1.0,0.6,1.2,5.2
567,Bob McAdoo,Los Angeles Lakers,19.0,.520,.000,4.5,1.0,0.3,0.8,1.4,10.5
568,Jamaal Wilkes,Los Angeles Lakers,18.1,.488,.000,2.2,1.0,0.5,0.1,1.2,8.3
569,Larry Spriggs,Los Angeles Lakers,17.2,.548,.000,3.0,1.8,0.6,0.2,1.5,6.7
570,Mike McGee,Los Angeles Lakers,15.4,.538,.361,2.2,0.9,0.5,0.1,1.1,10.2
571,Mitch Kupchak,Los Angeles Lakers,12.3,.504,,3.2,0.4,0.3,0.3,0.8,5.3
572,Ronnie Lester,Los Angeles Lakers,8.7,.415,.000,0.8,2.5,0.5,0.1,1.0,2.8
573,Chuck Nevitt,Los Angeles Lakers,5.4,.294,,1.8,0.3,0.0,1.4,0.9,1.1
574,Earl Jones,Los Angeles Lakers,3.5,.000,,0.0,0.0,0.0,0.0,0.5,0.0
575,Larry Bird,Boston Celtics,38.3,.492,.247,10.1,6.6,1.8,0.9,3.0,24.2
576,Robert Parish,Boston Celtics,35.8,.546,,10.7,1.7,0.7,1.5,2.3,19.0
