,name,team,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,turnovers,points_per_game
117,Patty Mills,San Antonio Spurs,18.9,.464,.425,2.1,1.8,0.8,0.1,0.8,10.2
118,Malcolm Thomas,San Antonio Spurs,15.0,.250,,9.0,0.0,0.0,2.0,1.0,2.0
119,Cory Joseph,San Antonio Spurs,13.8,.475,.316,1.6,1.7,0.5,0.2,0.6,5.0
120,Jeff Ayres,San Antonio Spurs,13.0,.580,,3.5,0.8,0.2,0.3,0.9,3.3
121,Nando De Colo,San Antonio Spurs,11.6,.452,.323,1.7,1.2,0.6,0.1,0.8,4.3
122,Matt Bonner,San Antonio Spurs,11.3,.445,.429,2.1,0.5,0.2,0.2,0.3,3.2
123,Shannon Brown,San Antonio Spurs,10.3,.286,.000,1.3,0.5,0.1,0.0,0.8,2.3
124,Damion James,San Antonio Spurs,10.0,.222,.000,2.4,0.6,0.0,0.2,0.2,1.2
125,Aron Baynes,San Antonio Spurs,9.3,.436,,2.7,0.6,0.0,0.1,0.7,3.0
126,Othyus Jeffers,San Antonio Spurs,8.5,.600,.000,1.5,0.3,0.0,0.0,0.0,1.8
127,Austin Daye,San Antonio Spurs,8.2,.382,.414,1.4,0.4,0.3,0.3,0.4,4.1
128,LeBron James,Miami Heat,37.9,.565,.406,8.0,7.3,1.7,0.9,3.0,26.8
129,Dwyane Wade,Miami Heat,34.7,.521,.258,5.0,5.1,1.9,0.8,2.8,21.2
130,Chris Bosh,Miami Heat,33.2,.535,.284,6.8,1.7,0.9,1.4,1.7,16.6
131,Mario Chalmers,Miami Heat,26.9,.429,.409,2.2,3.5,1.5,0.2,1.5,8.6
132,Ray Allen,Miami Heat,25.8,.449,.419,2.7,1.7,0.8,0.2,1.3,10.9
133,Shane Battier,Miami Heat,24.8,.420,.430,2.3,1.0,0.6,0.8,0.5,6.6
134,Norris Cole,Miami Heat,19.9,.421,.357,1.6,2.1,0.7,0.1,1.3,5.6
135,Udonis Haslem,Miami Heat,18.9,.514,,5.4,0.5,0.4,0.2,0.6,3.9
136,Mike Miller,Miami Heat,15.3,.433,.417,2.7,1.7,0.4,0.1,0.6,4.8
137,Chris Andersen,Miami Heat,14.9,.577,.667,4.1,0.4,0.4,1.0,0.6,4.9
138,Rashard Lewis,Miami Heat,14.4,.414,.389,2.2,0.5,0.4,0.3,0.6,5.2
139,Joel Anthony,Miami Heat,9.1,.515,,1.9,0.2,0.2,0.7,0.4,1.4
140,Juwan Howard,Miami Heat,7.3,.526,,1.1,0.9,0.0,0.0,0.6,3.0
141,James Jones,Miami Heat,5.8,.344,.302,0.6,0.3,0.1,0.2,0.1,1.6
142,Josh Harrellson,Miami Heat,5.2,.444,.200,1.2,0.0,0.2,0.2,0.5,1.7
143,Jarvis Varnado,Miami Heat,5.0,.333,,0.8,0.3,0.0,0.3,0.6,0.3
144,Terrel Harris,Miami Heat,4.1,.250,.000,1.3,0.3,0.0,0.0,0.6,1.4
145,Dexter Pittman,Miami Heat,3.0,.600,,1.8,0.0,0.0,0.0,0.5,1.5
146,LeBron James,Miami Heat,37.5,.531,.362,7.9,6.2,1.9,0.8,3.4,27.1
147,Chris Bosh,Miami Heat,35.2,.487,.286,7.9,1.8,0.9,0.8,2.1,18.0
148,Dwyane Wade,Miami Heat,33.2,.497,.268,4.8,4.6,1.7,1.3,2.6,22.1
149,Mario Chalmers,Miami Heat,28.5,.448,.388,2.7,3.5,1.5,0.2,2.2,9.8
150,Udonis Haslem,Miami Heat,24.8,.423,,7.3,0.7,0.5,0.4,0.9,6.0
151,Shane Battier,Miami Heat,23.1,.387,.339,2.4,1.3,1.0,0.5,0.6,4.8
152,Joel Anthony,Miami Heat,21.1,.559,,3.9,0.1,0.6,1.3,0.7,3.4
153,Norris Cole,Miami Heat,19.4,.393,.276,1.4,2.0,0.7,0.0,1.6,6.8
154,Mike Miller,Miami Heat,19.3,.435,.453,3.3,1.1,0.4,0.2,0.8,6.1
