,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage,in_playoff
145,Joel Embiid,PHI,2020,51,29.5,0.47700000000000004,0.331,11.6,3.0,0.9,1.3,23.0,C,25.8,0.59,4.7,0.192,1
151,Derrick Favors,NOP,2020,51,24.4,0.617,0.14300000000000002,9.8,1.6,0.6,0.9,9.0,C,18.5,0.62,1.0,0.162,0
153,Terrance Ferguson,OKC,2020,56,22.4,0.355,0.292,1.3,0.9,0.5,0.3,3.9,SF,3.7,0.48100000000000004,-4.5,0.021,1
156,Dorian Finney-Smith,DAL,2020,71,29.9,0.466,0.376,5.7,1.6,0.6,0.5,9.5,PF,12.3,0.595,-0.2,0.11,1
157,Bryn Forbes,SAS,2020,63,25.1,0.41700000000000004,0.38799999999999996,2.0,1.7,0.5,0.0,11.2,SG,11.1,0.57,-2.7,0.047,0
163,Markelle Fultz,ORL,2020,72,27.7,0.465,0.267,3.3,5.1,1.3,0.2,12.1,PG,14.3,0.517,-1.8,0.065,1
166,Danilo Gallinari,OKC,2020,62,29.6,0.43799999999999994,0.405,5.2,1.9,0.7,0.1,18.7,PF,19.5,0.612,3.3,0.166,1
167,Langston Galloway,DET,2020,66,25.8,0.435,0.39899999999999997,2.3,1.5,0.7,0.2,10.3,SG,12.3,0.584,-0.8,0.087,0
169,Marc Gasol,TOR,2020,44,26.4,0.42700000000000005,0.385,6.3,3.3,0.8,0.9,7.5,C,11.8,0.551,1.6,0.124,1
170,Rudy Gay,SAS,2020,67,21.8,0.446,0.336,5.4,1.7,0.5,0.5,10.8,PF,15.4,0.5529999999999999,-0.8,0.068,0
171,Paul George,LAC,2020,48,29.6,0.439,0.41200000000000003,5.7,3.9,1.4,0.4,21.5,SF,21.1,0.589,4.9,0.161,1
178,Eric Gordon,HOU,2020,36,28.2,0.369,0.317,2.0,1.5,0.6,0.4,14.4,SF,10.3,0.51,-3.9,0.024,1
181,Jerami Grant,DEN,2020,71,26.6,0.478,0.389,3.5,1.2,0.7,0.8,12.0,PF,14.4,0.591,-0.5,0.111,1
184,Danny Green,LAL,2020,68,24.8,0.41600000000000004,0.36700000000000005,3.3,1.3,1.3,0.5,8.0,SG,10.8,0.552,0.5,0.096,1
185,Draymond Green,GSW,2020,43,28.4,0.389,0.27899999999999997,6.2,6.2,1.4,0.8,8.0,PF,12.5,0.489,-0.2,0.044000000000000004,0
186,JaMychal Green,LAC,2020,63,20.7,0.429,0.387,6.2,0.8,0.5,0.4,6.8,PF,11.1,0.5760000000000001,-0.5,0.115,1
188,Jeff Green,TOT,2020,48,20.0,0.462,0.33899999999999997,2.8,1.0,0.5,0.4,9.4,PF-C,13.7,0.59,-0.1,0.10400000000000001,0
196,Tim Hardaway Jr.,DAL,2020,71,29.5,0.434,0.39799999999999996,3.3,1.9,0.6,0.1,15.8,SG,14.5,0.581,-0.1,0.102,1
198,Maurice Harkless,TOT,2020,62,23.0,0.502,0.34700000000000003,3.9,1.1,0.9,0.5,5.8,PF-SF,9.8,0.5720000000000001,-0.7,0.09,0
200,Montrezl Harrell,LAC,2020,63,27.8,0.58,0.0,7.1,1.7,0.6,1.1,18.6,C,23.2,0.607,2.9,0.191,1
205,Josh Hart,NOP,2020,65,27.0,0.423,0.342,6.5,1.7,1.0,0.4,10.1,SF,11.9,0.563,-0.7,0.085,0
214,Tyler Herro,MIA,2020,55,27.4,0.428,0.389,4.1,2.2,0.6,0.2,13.5,SG,12.5,0.55,-1.6,0.05,1
218,George Hill,MIL,2020,59,21.5,0.516,0.46,3.0,3.1,0.8,0.1,9.4,PG,16.9,0.659,2.9,0.21,1
221,Aaron Holiday,IND,2020,66,24.5,0.414,0.39399999999999996,2.4,3.4,0.8,0.2,9.5,PG,11.6,0.521,-1.6,0.063,1
223,Justin Holiday,IND,2020,73,25.0,0.428,0.405,3.3,1.3,1.2,0.6,8.3,SF,12.1,0.585,1.3,0.11199999999999999,1
225,Richaun Holmes,SAC,2020,44,28.2,0.648,0.0,8.1,1.0,0.9,1.3,12.3,C,19.7,0.6809999999999999,1.0,0.19,0
226,Rodney Hood,POR,2020,21,29.5,0.506,0.493,3.4,1.5,0.8,0.2,11.0,SF,12.2,0.625,-0.9,0.084,1
235,Serge Ibaka,TOR,2020,55,27.0,0.512,0.385,8.2,1.4,0.5,0.8,15.4,C,17.3,0.583,0.1,0.126,1
238,Joe Ingles,UTA,2020,72,29.7,0.445,0.39899999999999997,3.9,5.2,0.9,0.2,9.8,PF,12.6,0.595,0.7,0.10800000000000001,1
241,Jonathan Isaac,ORL,2020,34,28.8,0.47,0.34,6.8,1.4,1.6,2.3,11.9,PF,17.3,0.552,2.3,0.12,1
244,Jaren Jackson Jr.,MEM,2020,57,28.5,0.469,0.39399999999999996,4.6,1.4,0.7,1.6,17.4,C,16.3,0.593,0.4,0.10300000000000001,0
247,Reggie Jackson,TOT,2020,31,24.0,0.41100000000000003,0.39299999999999996,3.0,4.1,0.4,0.2,11.9,SG-PG,13.7,0.529,-0.4,0.073,0
255,Cameron Johnson,PHO,2020,57,22.0,0.435,0.39,3.3,1.2,0.6,0.4,8.8,PF,12.9,0.586,0.3,0.102,0
262,Derrick Jones Jr.,MIA,2020,59,23.3,0.527,0.28,3.9,1.1,1.0,0.6,8.5,SF,14.9,0.62,0.7,0.153,1
264,DeAndre Jordan,BRK,2020,56,22.0,0.6659999999999999,0.0,10.0,1.9,0.3,0.9,8.3,C,19.9,0.682,3.0,0.2,1
265,Cory Joseph,SAC,2020,72,24.4,0.415,0.35200000000000004,2.6,3.5,0.7,0.3,6.4,PG,10.1,0.517,-2.0,0.062,0
273,Maxi Kleber,DAL,2020,74,25.5,0.461,0.373,5.2,1.2,0.3,1.1,9.1,PF,13.6,0.605,0.4,0.12300000000000001,1
277,Furkan Korkmaz,PHI,2020,72,21.7,0.43,0.402,2.3,1.1,0.6,0.2,9.8,SG,12.0,0.579,-1.3,0.085,1
281,Kyle Kuzma,LAL,2020,61,25.0,0.436,0.316,4.5,1.3,0.5,0.4,12.8,PF,12.2,0.531,-2.6,0.063,1
283,Jeremy Lamb,IND,2020,46,28.1,0.451,0.335,4.3,2.1,1.2,0.5,12.5,SG,14.0,0.547,-0.4,0.099,1
287,Jake Layman,MIN,2020,23,22.0,0.45299999999999996,0.33299999999999996,2.5,0.7,0.7,0.4,9.1,SF,10.3,0.544,-3.7,0.03,0
291,Damion Lee,GSW,2020,49,29.0,0.41700000000000004,0.35600000000000004,4.9,2.7,1.0,0.1,12.7,SG,12.7,0.5479999999999999,-2.3,0.057999999999999996,0
294,Meyers Leonard,MIA,2020,51,20.3,0.509,0.414,5.1,1.1,0.3,0.3,6.1,C,10.6,0.627,-0.9,0.096,1
295,Caris LeVert,BRK,2020,45,29.6,0.425,0.364,4.2,4.4,1.2,0.2,18.7,SG,16.1,0.514,-0.3,0.055,1
299,Brook Lopez,MIL,2020,68,26.7,0.435,0.314,4.6,1.5,0.7,2.4,12.0,C,15.0,0.551,2.0,0.145,1
304,Trey Lyles,SAS,2020,63,20.2,0.446,0.387,5.7,1.1,0.4,0.4,6.4,PF,12.6,0.557,-1.2,0.083,0
308,Ian Mahinmi,WAS,2020,38,21.3,0.495,0.192,5.7,1.3,0.8,1.2,7.4,C,14.2,0.545,-2.7,0.083,0
312,Lauri Markkanen,CHI,2020,50,29.8,0.425,0.344,6.3,1.5,0.8,0.5,14.7,PF,14.3,0.56,-0.6,0.084,0
319,Wesley Matthews,MIL,2020,67,24.4,0.396,0.364,2.5,1.4,0.6,0.1,7.4,SG,8.1,0.547,-1.8,0.09300000000000001,1
321,Patrick McCaw,TOR,2020,37,24.5,0.414,0.324,2.3,2.1,1.1,0.1,4.6,SF,7.3,0.5,-1.8,0.075,1
330,Ben McLemore,HOU,2020,71,22.8,0.444,0.4,2.2,0.8,0.6,0.2,10.1,SF,11.8,0.622,-0.5,0.099,1
331,Jordan McRae,TOT,2020,37,21.2,0.40700000000000003,0.35700000000000004,3.4,2.5,0.6,0.4,11.5,SG,14.2,0.515,-1.5,0.044000000000000004,0
335,Khris Middleton,MIL,2020,62,29.9,0.49700000000000005,0.415,6.2,4.3,0.9,0.1,20.9,SF,21.1,0.619,4.1,0.205,1
