,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage
447,Myles Turner,IND,2021,33,31.5,0.484,0.314,6.5,0.9,1.0,3.4,13.5,C,16.5,0.601,0.9,0.128
451,Fred VanVleet,TOR,2021,34,36.7,0.4,0.38299999999999995,4.4,6.6,1.7,0.8,20.1,SG,17.7,0.5489999999999999,2.6,0.127
455,Nikola Vučević,ORL,2021,36,33.9,0.483,0.41200000000000003,11.6,3.7,1.0,0.6,24.6,C,24.2,0.5710000000000001,6.0,0.156
458,Kemba Walker,BOS,2021,20,30.0,0.38799999999999996,0.366,3.6,4.6,1.1,0.4,18.5,PG,16.5,0.53,1.3,0.081
460,John Wall,HOU,2021,25,31.7,0.424,0.34,3.2,6.0,0.9,0.7,21.0,PG,16.5,0.524,0.2,0.03
468,Russell Westbrook,WAS,2021,28,34.3,0.43200000000000005,0.28600000000000003,9.6,9.8,1.2,0.3,20.3,PG,16.2,0.485,-0.1,0.001
469,Coby White,CHI,2021,34,33.2,0.42,0.354,5.1,5.0,0.4,0.1,16.2,PG,12.1,0.5379999999999999,-3.3,0.051
473,Andrew Wiggins,GSW,2021,37,32.2,0.46299999999999997,0.35100000000000003,4.5,2.2,0.8,1.1,17.0,PF,13.1,0.547,-2.1,0.051
479,Zion Williamson,NOP,2021,34,33.1,0.614,0.316,7.2,3.4,0.9,0.7,25.6,PF,26.8,0.65,4.2,0.198
485,Christian Wood,HOU,2021,17,31.2,0.5579999999999999,0.42100000000000004,10.2,1.3,0.9,1.5,22.0,C,24.2,0.634,4.0,0.165
489,Trae Young,ATL,2021,34,34.8,0.43,0.37799999999999995,4.2,9.4,0.9,0.2,26.4,PG,22.9,0.595,4.1,0.165
