,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage,in_playoff
130,Gorgui Dieng,TOT,2020,63,17.4,0.456,0.355,5.6,1.2,0.8,0.9,7.4,C,17.1,0.568,1.5,0.129,0
135,Damyean Dotson,NYK,2020,48,17.4,0.414,0.36200000000000004,1.9,1.2,0.5,0.1,6.7,SG,10.9,0.527,-1.5,0.053,0
136,Sekou Doumbouya,DET,2020,38,19.8,0.39,0.28600000000000003,3.1,0.5,0.5,0.2,6.4,PF,6.2,0.474,-6.7,-0.02,0
137,PJ Dozier,DEN,2020,29,14.2,0.414,0.34700000000000003,1.9,2.2,0.5,0.2,5.8,SG,11.6,0.495,-3.9,0.044000000000000004,1
144,Wayne Ellington,NYK,2020,36,15.5,0.35100000000000003,0.35,1.8,1.2,0.4,0.1,5.1,SG,8.5,0.509,-2.9,0.035,0
146,James Ennis,TOT,2020,69,18.3,0.446,0.325,3.6,0.9,0.5,0.3,6.6,SF-SG,11.5,0.565,-2.6,0.09,0
147,Drew Eubanks,SAS,2020,22,12.4,0.642,1.0,3.9,0.7,0.2,0.8,4.9,C,17.3,0.682,-1.7,0.134,0
148,Jacob Evans,TOT,2020,29,14.4,0.336,0.33299999999999996,1.4,1.1,0.4,0.4,4.4,SG,5.5,0.436,-7.1,-0.055999999999999994,0
149,Dante Exum,TOT,2020,35,13.9,0.47100000000000003,0.349,1.9,1.1,0.4,0.2,4.5,SG,10.3,0.5760000000000001,-2.9,0.043,0
152,Cristiano Felício,CHI,2020,22,17.5,0.63,0.0,4.6,0.7,0.5,0.1,3.9,C,12.8,0.6709999999999999,-3.0,0.126,0
154,Bruno Fernando,ATL,2020,56,12.7,0.518,0.135,3.5,0.9,0.3,0.3,4.3,C,11.9,0.542,-4.1,0.055,0
155,Yogi Ferrell,SAC,2020,50,10.6,0.42,0.304,1.0,1.4,0.4,0.1,4.4,PG,12.2,0.528,-1.8,0.06,0
161,Michael Frazier,HOU,2020,13,11.2,0.24100000000000002,0.174,0.8,0.2,0.2,0.0,2.1,SG,-0.9,0.384,-11.0,-0.06,1
162,Tim Frazier,DET,2020,27,13.1,0.36200000000000004,0.33299999999999996,1.2,3.4,0.5,0.1,3.6,PG,9.8,0.46399999999999997,-4.6,0.016,0
165,Daniel Gafford,CHI,2020,43,14.2,0.701,0.0,2.5,0.5,0.3,1.3,5.1,C,16.2,0.6859999999999999,-1.3,0.146,0
172,Taj Gibson,NYK,2020,62,16.5,0.584,0.28600000000000003,4.3,0.8,0.4,0.5,6.1,C,16.1,0.61,-1.1,0.12,0
173,Harry Giles,SAC,2020,46,14.5,0.5539999999999999,0.0,4.1,1.3,0.5,0.4,6.9,C,16.4,0.58,-1.3,0.11199999999999999,0
176,Brandon Goodwin,ATL,2020,34,12.6,0.4,0.299,2.1,1.5,0.4,0.1,6.1,PG,11.6,0.507,-2.9,0.013000000000000001,0
180,Treveon Graham,TOT,2020,55,16.9,0.36,0.275,2.7,0.8,0.4,0.1,4.4,SF,6.6,0.456,-5.6,0.009000000000000001,0
190,Marko Guduric,MEM,2020,44,11.0,0.395,0.301,1.7,1.0,0.3,0.2,3.9,SG,8.8,0.514,-3.4,0.013999999999999999,0
204,Shaquille Harrison,CHI,2020,43,11.3,0.467,0.381,2.0,1.1,0.8,0.4,4.9,SG,17.8,0.5589999999999999,2.8,0.153,0
206,Isaiah Hartenstein,HOU,2020,23,11.6,0.657,0.0,3.9,0.8,0.4,0.5,4.7,C,18.6,0.674,0.3,0.19,1
208,Jaxson Hayes,NOP,2020,64,16.9,0.672,0.25,4.0,0.9,0.4,0.9,7.4,C,17.6,0.6890000000000001,-0.3,0.171,0
210,John Henson,TOT,2020,40,15.0,0.556,0.222,4.1,1.4,0.6,1.1,5.5,C,17.0,0.578,0.9,0.109,0
212,Juan Hernangómez,TOT,2020,48,17.4,0.405,0.341,4.1,0.8,0.4,0.2,6.0,PF,10.4,0.518,-3.4,0.052000000000000005,0
213,Willy Hernangómez,CHO,2020,31,12.1,0.532,0.22699999999999998,4.3,0.9,0.3,0.2,6.1,C,19.2,0.5760000000000001,0.1,0.107,0
216,Mario Hezonja,POR,2020,53,16.4,0.42200000000000004,0.308,3.5,0.9,0.7,0.2,4.8,PF,9.5,0.525,-2.9,0.043,1
219,Solomon Hill,TOT,2020,59,18.4,0.396,0.368,2.8,1.8,0.7,0.2,5.5,PF,9.8,0.535,-1.7,0.064,0
224,Rondae Hollis-Jefferson,TOR,2020,60,18.7,0.47100000000000003,0.13,4.7,1.8,0.8,0.4,7.0,PF,15.1,0.5329999999999999,0.3,0.146,1
230,Dwight Howard,LAL,2020,69,18.9,0.7290000000000001,0.6,7.3,0.7,0.4,1.1,7.5,C,18.7,0.696,0.2,0.19699999999999998,1
234,Chandler Hutchison,CHI,2020,28,18.8,0.457,0.316,3.9,0.9,1.0,0.3,7.8,SF,12.4,0.521,-2.6,0.06,0
236,Andre Iguodala,MIA,2020,21,19.9,0.43200000000000005,0.298,3.7,2.4,0.7,1.0,4.6,SF,10.5,0.507,-0.5,0.065,1
237,Ersan İlyasova,MIL,2020,63,15.7,0.466,0.365,4.8,0.8,0.4,0.3,6.6,PF,14.9,0.589,0.4,0.174,1
242,Wesley Iwundu,ORL,2020,52,18.3,0.41600000000000004,0.341,2.5,1.2,0.5,0.3,5.8,SF,10.3,0.544,-2.6,0.084,1
243,Frank Jackson,NOP,2020,59,13.5,0.405,0.326,1.4,1.0,0.3,0.1,6.3,PG,9.1,0.51,-5.5,0.01,0
245,Josh Jackson,MEM,2020,22,17.3,0.44,0.319,3.0,1.6,0.8,0.4,9.0,SF,14.1,0.547,0.0,0.069,0
246,Justin Jackson,DAL,2020,65,16.1,0.396,0.294,2.4,0.8,0.2,0.2,5.5,PF,9.5,0.496,-3.4,0.054000000000000006,1
251,DaQuan Jeffries,SAC,2020,13,10.8,0.5,0.278,1.4,0.5,0.3,0.1,3.8,SG,11.2,0.586,-3.8,0.1,0
252,Ty Jerome,PHO,2020,31,10.6,0.336,0.28,1.5,1.4,0.5,0.1,3.3,SG,7.9,0.425,-3.8,-0.003,0
256,James Johnson,TOT,2020,32,19.3,0.479,0.363,3.7,2.3,0.8,1.0,8.4,PF-C,14.8,0.5720000000000001,0.0,0.08900000000000001,0
257,Keldon Johnson,SAS,2020,17,17.7,0.596,0.591,3.4,0.9,0.8,0.1,9.1,SF,19.1,0.711,1.5,0.174,0
259,Tyler Johnson,TOT,2020,39,18.2,0.38799999999999996,0.319,1.9,1.9,0.4,0.2,7.0,PG-SG,10.1,0.504,-2.9,0.05,0
261,Damian Jones,ATL,2020,55,16.1,0.68,0.222,3.7,0.6,0.5,0.7,5.6,C,15.6,0.7120000000000001,-1.5,0.152,0
263,Tyus Jones,MEM,2020,65,19.0,0.45899999999999996,0.379,1.6,4.4,0.9,0.1,7.4,PG,15.7,0.532,0.6,0.11699999999999999,0
267,Frank Kaminsky,PHO,2020,39,19.9,0.45,0.331,4.5,1.9,0.4,0.3,9.7,C,14.2,0.545,-0.5,0.087,0
268,Enes Kanter,BOS,2020,58,16.9,0.5720000000000001,0.14300000000000002,7.4,1.0,0.4,0.7,8.1,C,22.4,0.599,1.5,0.214,1
271,Michael Kidd-Gilchrist,TOT,2020,25,11.2,0.33299999999999996,0.25,2.7,0.6,0.1,0.2,2.4,PF,4.2,0.41600000000000004,-7.4,-0.03,0
274,Brandon Knight,TOT,2020,25,18.5,0.353,0.344,1.6,2.8,0.4,0.1,7.3,SG-PG,8.5,0.503,-4.4,-0.01,0
275,Kevin Knox,NYK,2020,65,17.9,0.359,0.327,2.8,0.9,0.4,0.4,6.4,SF,8.3,0.47,-4.2,0.006999999999999999,0
278,Luke Kornet,CHI,2020,36,15.5,0.439,0.287,2.3,0.9,0.3,0.7,6.0,C,12.7,0.539,-1.2,0.091,0
279,Kyle Korver,MIL,2020,58,16.6,0.43,0.418,2.1,1.2,0.4,0.2,6.7,SF,11.3,0.62,0.1,0.124,1
