,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage
439,Matisse Thybulle,PHI,2021,33,18.1,0.368,0.262,1.5,0.9,1.4,0.9,3.1,SG,8.4,0.45899999999999996,0.3,0.077
442,Obi Toppin,NYK,2021,27,12.7,0.486,0.295,2.5,0.6,0.3,0.4,4.7,PF,11.9,0.561,-1.6,0.083
449,Denzel Valentine,CHI,2021,30,19.7,0.375,0.348,4.1,1.8,0.7,0.0,8.0,SG,10.9,0.48100000000000004,-2.7,0.04
450,Jarred Vanderbilt,MIN,2021,34,19.2,0.612,0.5,5.7,1.5,1.1,0.6,6.1,PF,16.1,0.618,-0.5,0.125
452,Devin Vassell,SAS,2021,26,17.3,0.397,0.397,3.2,1.1,1.1,0.3,5.5,SF,12.6,0.529,0.2,0.098
453,Gabe Vincent,MIA,2021,25,15.0,0.364,0.258,1.1,1.2,0.5,0.1,5.8,PG,6.5,0.48,-6.5,-0.013000000000000001
456,Dean Wade,CLE,2021,28,11.4,0.446,0.423,2.1,0.6,0.2,0.2,3.4,PF,10.6,0.605,-1.0,0.077
457,Moritz Wagner,WAS,2021,23,14.7,0.509,0.308,3.0,1.2,0.7,0.3,7.1,C,15.6,0.607,-0.4,0.126
461,Brad Wanamaker,GSW,2021,37,16.2,0.358,0.23199999999999998,1.7,2.7,0.7,0.2,4.8,PG,9.2,0.478,-3.7,0.049
464,Yuta Watanabe,TOR,2021,22,12.2,0.33299999999999996,0.364,3.2,0.4,0.4,0.5,2.7,SF,9.5,0.47200000000000003,-3.3,0.063
471,Hassan Whiteside,SAC,2021,23,14.6,0.58,0.0,5.7,0.5,0.3,1.3,8.3,C,20.9,0.586,-1.1,0.091
474,Grant Williams,BOS,2021,28,18.5,0.47,0.433,2.9,0.9,0.5,0.4,5.3,PF,8.5,0.583,-3.7,0.057
475,Kenrich Williams,OKC,2021,36,18.9,0.5539999999999999,0.42,4.0,1.6,0.8,0.2,6.2,PF,13.8,0.622,-0.2,0.125
478,Robert Williams,BOS,2021,29,16.1,0.721,0.0,5.9,1.1,0.9,1.4,6.9,C,25.6,0.722,5.4,0.244
481,Dylan Windler,CLE,2021,22,19.0,0.456,0.365,4.1,1.3,0.7,0.5,6.3,SF,12.7,0.603,-0.3,0.08800000000000001
491,Ivica Zubac,LAC,2021,38,19.8,0.659,0.0,7.0,1.1,0.4,0.8,8.2,C,20.2,0.7070000000000001,0.6,0.217
