,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage
213,Elijah Hughes,UTA,2021,6,4.5,0.33299999999999996,0.3,0.7,0.5,0.2,0.2,2.7,SF,9.7,0.47700000000000004,-4.5,-0.07
215,Chandler Hutchison,CHI,2021,7,9.1,0.278,0.33299999999999996,2.9,0.6,0.1,0.0,1.9,SF,0.5,0.344,-10.9,-0.10400000000000001
222,Frank Jackson,DET,2021,9,6.0,0.273,0.308,0.9,1.1,0.1,0.0,1.8,PG,3.3,0.364,-8.4,-0.098
226,Justin James,SAC,2021,13,5.3,0.391,0.222,0.7,0.4,0.2,0.1,1.7,SF,8.3,0.415,-5.9,-0.047
237,Damian Jones,LAL,2021,17,7.4,0.619,0.0,1.4,0.2,0.1,0.5,2.0,C,10.3,0.636,-3.7,0.11599999999999999
240,Tre Jones,SAS,2021,13,3.4,0.563,1.0,0.3,0.2,0.0,0.0,1.8,PG,14.8,0.659,-4.5,0.092
244,Mfiondu Kabengele,LAC,2021,20,4.1,0.26899999999999996,0.2,0.6,0.3,0.1,0.2,1.0,PF,1.1,0.36,-10.6,-0.08900000000000001
249,Nathan Knight,ATL,2021,10,5.8,0.391,0.33299999999999996,1.5,0.1,0.2,0.3,2.8,PF,14.4,0.528,-2.9,0.057999999999999996
253,Luke Kornet,CHI,2021,10,8.3,0.34600000000000003,0.273,1.5,0.4,0.2,0.6,2.6,PF,11.5,0.484,2.1,0.066
254,Rodions Kurucs,HOU,2021,16,5.7,0.25,0.17600000000000002,0.9,0.4,0.4,0.3,1.0,SF-PF,2.1,0.322,-7.0,-0.11699999999999999
259,Jalen Lecque,IND,2021,3,3.0,0.25,0.0,1.3,0.7,0.0,0.0,1.7,PG,24.1,0.47,2.6,0.221
264,Meyers Leonard,MIA,2021,3,9.7,0.429,0.429,2.3,0.7,0.0,0.0,3.3,C,6.6,0.635,-4.4,0.045
276,Thon Maker,CLE,2021,8,9.5,0.556,0.0,2.3,0.5,0.3,0.5,3.8,C,18.8,0.657,1.5,0.18
278,Karim Mané,ORL,2021,6,9.3,0.111,0.5,1.7,0.2,0.0,0.2,1.2,PG,-0.8,0.325,-11.4,-0.09300000000000001
280,Nico Mannion,GSW,2021,7,9.6,0.261,0.35700000000000004,1.7,2.6,0.4,0.0,2.6,PG,5.1,0.363,-6.6,-0.059000000000000004
281,Boban Marjanović,DAL,2021,18,7.8,0.5,0.0,3.9,0.2,0.1,0.1,4.6,C,20.1,0.525,-4.6,0.106
283,Naji Marshall,NOP,2021,3,2.7,0.0,0.0,0.7,0.3,0.0,0.0,0.3,SF,-0.5,0.174,-10.0,-0.158
286,Kelan Martin,IND,2021,12,4.0,0.35,0.222,1.0,0.0,0.3,0.0,1.5,SF,4.6,0.431,-8.3,-0.096
287,Kenyon Martin Jr.,HOU,2021,7,9.9,0.37,0.25,2.7,0.6,0.3,0.7,3.3,SF,9.1,0.39399999999999996,-6.5,-0.04
293,Skylar Mays,ATL,2021,16,8.3,0.38799999999999996,0.348,0.8,1.1,0.4,0.0,3.9,SG,16.3,0.545,1.5,0.138
294,Patrick McCaw,TOR,2021,3,6.7,0.0,0.0,0.3,1.3,0.0,0.0,0.0,SF,5.9,0.0,-1.7,0.11699999999999999
302,Rodney McGruder,DET,2021,12,9.6,0.512,0.5,1.0,1.0,0.3,0.1,4.8,SG,16.2,0.624,0.2,0.114
303,Alfonzo McKinnie,LAL,2021,18,4.7,0.5329999999999999,0.41700000000000004,1.1,0.1,0.1,0.0,2.3,SF,17.5,0.626,0.4,0.191
308,Sam Merrill,MIL,2021,13,5.9,0.353,0.455,1.1,0.8,0.2,0.0,1.5,SG,10.4,0.531,-2.3,0.105
