,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage,in_playoff
229,Danuel House,HOU,2020,63,30.4,0.42700000000000005,0.363,4.2,1.3,1.1,0.5,10.5,SF,11.3,0.5720000000000001,-0.7,0.091,1
232,Kevin Huerter,ATL,2020,56,31.4,0.413,0.38,4.1,3.8,0.9,0.5,12.2,SG,11.5,0.536,-1.6,0.043,0
233,De'Andre Hunter,ATL,2020,63,32.0,0.41,0.355,4.5,1.8,0.7,0.3,12.3,SF,8.6,0.521,-4.7,0.002,0
239,Brandon Ingram,NOP,2020,62,33.9,0.46299999999999997,0.391,6.1,4.2,1.0,0.6,23.8,PF,18.8,0.5870000000000001,2.1,0.115,0
240,Kyrie Irving,BRK,2020,20,32.9,0.478,0.39399999999999996,5.2,6.4,1.4,0.5,27.4,PG,26.2,0.595,7.7,0.21,1
249,LeBron James,LAL,2020,67,34.6,0.493,0.348,7.8,10.2,1.2,0.5,25.3,PG,25.5,0.5770000000000001,8.4,0.204,1
260,Nikola Jokić,DEN,2020,73,32.0,0.528,0.314,9.7,7.0,1.2,0.6,19.9,C,24.9,0.605,7.4,0.20199999999999999,1
269,Luke Kennard,DET,2020,28,32.9,0.442,0.39899999999999997,3.5,4.1,0.4,0.2,15.8,SG,14.4,0.589,-0.3,0.1,0
285,Zach LaVine,CHI,2020,60,34.8,0.45,0.38,4.8,4.2,1.5,0.5,25.5,SG,19.4,0.568,2.4,0.091,0
293,Kawhi Leonard,LAC,2020,57,32.4,0.47,0.37799999999999995,7.1,4.9,1.8,0.6,27.1,SF,26.9,0.589,8.9,0.226,1
296,Damian Lillard,POR,2020,66,37.5,0.46299999999999997,0.401,4.3,8.0,1.1,0.3,30.0,PG,26.9,0.627,7.5,0.225,1
301,Kevin Love,CLE,2020,56,31.8,0.45,0.374,9.8,3.2,0.6,0.3,17.6,PF,17.9,0.599,2.0,0.10099999999999999,0
302,Kyle Lowry,TOR,2020,58,36.2,0.41600000000000004,0.35200000000000004,5.0,7.5,1.4,0.4,19.4,PG,17.7,0.59,3.2,0.171,1
322,CJ McCollum,POR,2020,70,36.5,0.451,0.379,4.2,4.4,0.8,0.6,22.2,SG,17.0,0.541,0.5,0.077,1
342,Donovan Mitchell,UTA,2020,69,34.3,0.449,0.366,4.4,4.3,1.0,0.2,24.0,SG,18.8,0.5579999999999999,1.9,0.11,1
348,Ja Morant,MEM,2020,67,31.0,0.47700000000000004,0.335,3.9,7.3,0.9,0.3,17.8,PG,17.4,0.556,0.3,0.08800000000000001,0
350,Marcus Morris,TOT,2020,62,31.2,0.43799999999999994,0.408,5.0,1.4,0.8,0.5,16.7,SF-PF,14.3,0.57,-0.1,0.08800000000000001,0
357,Jamal Murray,DEN,2020,59,32.3,0.456,0.34600000000000003,4.0,4.8,1.1,0.3,18.5,PG,17.7,0.5589999999999999,1.2,0.107,1
386,Kelly Oubre Jr.,PHO,2020,56,34.5,0.452,0.35200000000000004,6.4,1.5,1.3,0.7,18.7,SF,14.9,0.56,-0.5,0.09300000000000001,0
395,Chris Paul,OKC,2020,70,31.5,0.489,0.365,5.0,6.7,1.6,0.2,17.6,PG,21.7,0.61,4.4,0.193,1
410,Kristaps Porziņģis,DAL,2020,57,31.8,0.42700000000000005,0.35200000000000004,9.5,1.8,0.7,2.0,20.4,C,20.2,0.551,1.9,0.138,1
415,Julius Randle,NYK,2020,64,32.5,0.46,0.27699999999999997,9.7,3.1,0.8,0.3,19.5,PF,17.5,0.5379999999999999,-0.3,0.062,0
420,Josh Richardson,PHI,2020,55,30.8,0.43,0.341,3.2,2.9,0.9,0.7,13.7,SG,12.0,0.5329999999999999,-1.8,0.061,1
432,Terry Rozier,CHO,2020,63,34.3,0.423,0.40700000000000003,4.4,4.1,1.0,0.2,18.0,PG,14.8,0.5529999999999999,-0.4,0.066,0
433,Ricky Rubio,PHO,2020,65,31.0,0.415,0.361,4.7,8.8,1.4,0.2,13.0,PG,16.5,0.535,1.0,0.11699999999999999,0
434,D'Angelo Russell,TOT,2020,45,32.3,0.426,0.36700000000000005,3.9,6.3,1.1,0.3,23.1,PG,18.7,0.556,1.9,0.06,0
435,Domantas Sabonis,IND,2020,62,34.8,0.54,0.254,12.4,5.0,0.8,0.5,18.5,PF,20.7,0.586,3.2,0.168,1
441,Dennis Schröder,OKC,2020,65,30.8,0.469,0.385,3.6,4.0,0.7,0.2,18.9,PG,16.7,0.575,0.0,0.087,1
444,Collin Sexton,CLE,2020,65,33.0,0.47200000000000003,0.38,3.1,3.0,1.0,0.1,20.8,PG,16.3,0.56,-1.8,0.057,0
448,Pascal Siakam,TOR,2020,60,35.2,0.45299999999999996,0.359,7.3,3.5,1.0,0.9,22.9,PF,17.9,0.5539999999999999,1.8,0.12300000000000001,1
450,Ben Simmons,PHI,2020,57,35.4,0.58,0.28600000000000003,7.8,8.0,2.1,0.6,16.4,PG,20.4,0.602,3.6,0.165,1
453,Marcus Smart,BOS,2020,60,32.0,0.375,0.34700000000000003,3.8,4.9,1.7,0.5,12.9,SG,13.8,0.518,1.4,0.11199999999999999,1
